Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Aliir, Aliir",6,3,7,13,,,,2.0,3.0,,,4.0,2.0,1.0,,7.0,7.0,1.0,,5.0,,,97.0
15,"Amon, Karl",14,6,12,26,1,1.0,,,,6.0,3.0,2.0,,1.0,,6.0,20.0,1.0,1.0,,,,68.0
14,"Bergman, Miles",9,5,5,14,,,,3.0,2.0,3.0,,4.0,,,,4.0,9.0,1.0,,3.0,,,83.0
10,"Boak, Travis",8,2,19,27,2,1.0,,2.0,1.0,4.0,3.0,6.0,3.0,3.0,,10.0,18.0,,1.0,,,2.0,74.0
36,"Burgoyne, Jase",11,7,6,17,1,,,2.0,3.0,1.0,1.0,1.0,1.0,,,3.0,14.0,,1.0,,1.0,,83.0
3,"Burton, Ryan",14,1,3,17,,,,5.0,5.0,,,4.0,,2.0,,4.0,6.0,1.0,,1.0,,,79.0
18,"Butters, Zak",17,5,8,25,2,1.0,,3.0,3.0,3.0,4.0,7.0,2.0,2.0,,10.0,15.0,1.0,1.0,1.0,1.0,1.0,84.0
33,"Byrne-Jones, Darcy",13,5,17,30,,,,,7.0,,5.0,2.0,1.0,,,14.0,18.0,,,2.0,,,72.0
22,"Dixon, Charlie",5,2,4,9,1,,4.0,1.0,,2.0,2.0,5.0,,2.0,,7.0,1.0,1.0,1.0,1.0,,2.0,86.0
28,"Drew, Willem",,,,,,,,,,,,,,,,,,,,,,,
7,"Duursma, Xavier",11,7,10,21,,,,,2.0,1.0,1.0,4.0,,1.0,,3.0,19.0,1.0,,1.0,,1.0,70.0
24,"Farrell, Kane",15,6,5,20,,,,6.0,6.0,3.0,1.0,2.0,,,,4.0,16.0,,,1.0,,,84.0
11,"Finlayson, Jeremy",13,2,7,20,1,1.0,13.0,3.0,5.0,2.0,6.0,1.0,1.0,,,12.0,9.0,1.0,,6.0,,,79.0
19,"Georgiades, Mitch",3,1,2,5,1,1.0,,2.0,,,,3.0,1.0,1.0,,4.0,2.0,1.0,1.0,,,,68.0
9,"Gray, Robbie",9,1,9,18,,,,5.0,1.0,1.0,4.0,5.0,1.0,1.0,,8.0,9.0,,,,,,74.0
1,"Jonas, Tom",7,4,5,12,,,,3.0,1.0,,,1.0,1.0,,,9.0,4.0,1.0,,7.0,,,98.0
34,"Jones, Lachie",5,5,6,11,,,,5.0,,3.0,1.0,5.0,,2.0,,1.0,10.0,,,4.0,,,78.0
4,"Marshall, Todd",9,4,5,14,1,2.0,,3.0,,1.0,,6.0,1.0,1.0,,6.0,9.0,,2.0,2.0,,,94.0
41,"McEntee, Jed",5,2,5,10,,1.0,,2.0,,1.0,,3.0,1.0,1.0,,6.0,4.0,,1.0,,,,78.0
12,"McKenzie, Trent",6,1,3,9,,,,1.0,,,1.0,,1.0,,,4.0,2.0,,,5.0,,,91.0
2,"Powell-Pepper, Sam",11,5,7,18,2,,,3.0,1.0,7.0,2.0,3.0,2.0,,,7.0,11.0,2.0,1.0,,1.0,,90.0
20,"Rozee, Connor",13,6,22,35,,,,5.0,2.0,8.0,4.0,6.0,,2.0,2.0,10.0,24.0,,,1.0,,,83.0
16,"Wines, Ollie",17,2,13,30,,,,6.0,,6.0,6.0,7.0,,3.0,,12.0,19.0,,,3.0,,2.0,86.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,221,82,180,401,12,10.0,17.0,62.0,42.0,52.0,44.0,81.0,18.0,23.0,2.0,151.0,246.0,12.0,10.0,43.0,3.0,8.0,
Opposition,Opposition,216,72,102,318,13,10.0,46.0,49.0,40.0,55.0,36.0,54.0,23.0,18.0,4.0,136.0,171.0,8.0,10.0,42.0,9.0,10.0,
