West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Ball, Jason",3,2,2,5,1,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,
6,"Banfield, Drew",10,4,8,18,1,,,3.0,,,,,1.0,2.0,,,,,,,,,
18,"Evans, Tony",9,,2,11,,,,3.0,,,,,1.0,2.0,,,,,,,,,
25,"Gehrig, Fraser",7,7,8,15,1,,1.0,1.0,,,,,,,,,,,,,,,
36,"Hart, David",7,4,5,12,,,,,,,,,2.0,1.0,,,,,,,,,
1,"Heady, Brett",7,4,3,10,2,1.0,,,,,,,3.0,1.0,,,,,,,,,
27,"Jakovich, Glen",14,5,3,17,,1.0,2.0,2.0,,,,,,2.0,,,,,,,,,
2,"Kemp, Dean",8,2,10,18,1,,,3.0,,,,,,1.0,,,,,,,,,
28,"Lewis, Chris",6,1,4,10,2,,,1.0,,,,,3.0,3.0,,,,,,,,,
37,"Lyle, Brayden",6,1,7,13,,,,,,,,,,1.0,,,,,,,,,
3,"Mainwaring, Chris",16,3,4,20,,1.0,,2.0,,,,,2.0,4.0,,,,,,,,,
30,"Matera, Peter",19,2,7,26,2,1.0,,1.0,,,,,2.0,2.0,3.0,,,,,,,,
11,"McIntosh, Ashley",8,3,1,9,4,1.0,,,,,,,2.0,,,,,,,,,,
17,"McKenna, Guy",,2,8,8,,,,1.0,,,,,,1.0,,,,,,,,,
8,"Metropolis, Daniel",5,3,2,7,,1.0,,4.0,,,,,,,,,,,,,,,
10,"Pyke, Don",14,5,5,19,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,
16,"Symmons, Paul",12,2,4,16,,,,1.0,,,,,1.0,2.0,,,,,,,,,
50,"Turnbull, Ryan",13,4,,13,1,,13.0,1.0,,,,,3.0,2.0,,,,,,,,,
12,"White, Mitchell",9,4,5,14,,,,2.0,,,,,,1.0,,,,,,,,,
9,"Wilson, Peter",2,1,,2,,,,1.0,,,,,,1.0,,,,,,,,,
24,"Worsfold, John",4,2,3,7,1,,,1.0,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,179,61,91,270,16,8.0,17.0,29.0,,,,,22.0,29.0,4.0,,,,,,,,
Opposition,Opposition,183,54,107,290,15,15.0,35.0,36.0,,,,,29.0,22.0,2.0,,,,,,,,
