Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Baldwin, Kaine",8,5,,8,,,,,3.0,1.0,,,1.0,,,1.0,7.0,,,6.0,,1.0,84.0
24 ↓,"Bryan, Nick",6,4,1,7,,,10.0,3.0,3.0,1.0,1.0,,1.0,,,3.0,4.0,1.0,1.0,2.0,,1.0,46.0
13,"Cox, Nik",7,4,5,12,,1.0,,1.0,1.0,3.0,1.0,7.0,,3.0,,7.0,6.0,1.0,,1.0,,,75.0
22,"Durham, Sam",8,5,14,22,,,,1.0,2.0,5.0,,3.0,1.0,1.0,,8.0,14.0,2.0,,1.0,1.0,1.0,82.0
35,"Guelfi, Matt",6,2,6,12,1,,,6.0,,1.0,,2.0,1.0,,,2.0,9.0,1.0,1.0,1.0,,,82.0
21,"Heppell, Dyson",13,7,3,16,,,,1.0,4.0,1.0,1.0,1.0,1.0,,,8.0,8.0,2.0,1.0,1.0,2.0,,84.0
19,"Hind, Nick",16,8,7,23,,,,1.0,1.0,2.0,1.0,3.0,,,,6.0,17.0,,,1.0,5.0,,84.0
8,"Hobbs, Ben",16,6,13,29,,,,6.0,1.0,8.0,3.0,9.0,1.0,3.0,,10.0,21.0,,,,,,77.0
29,"Kelly, Jake",6,5,5,11,,,,3.0,1.0,3.0,,1.0,,1.0,,,11.0,,,2.0,,,76.0
4,"Langford, Kyle",5,3,11,16,3,1.0,,1.0,,,1.0,3.0,,1.0,,11.0,7.0,,3.0,2.0,,1.0,95.0
15,"Laverde, Jayden",13,7,6,19,,,,2.0,4.0,1.0,,2.0,3.0,1.0,,7.0,11.0,,,3.0,,,82.0
37,"Martin, Nic",19,6,13,32,3,,,2.0,3.0,4.0,1.0,4.0,2.0,,3.0,12.0,18.0,,1.0,1.0,4.0,1.0,93.0
1,"McGrath, Andrew",8,5,9,17,,,,3.0,3.0,1.0,,1.0,,,,2.0,15.0,,,1.0,3.0,1.0,83.0
47,"Menzie, Jye",8,6,3,11,2,1.0,,2.0,,3.0,,,,,,5.0,6.0,1.0,2.0,,1.0,,77.0
7,"Merrett, Zach",9,2,12,21,,,,9.0,1.0,4.0,5.0,4.0,3.0,2.0,,9.0,12.0,,,1.0,,2.0,85.0
3,"Parish, Darcy",17,6,16,33,,,,3.0,1.0,10.0,9.0,4.0,2.0,1.0,1.0,16.0,17.0,1.0,,,2.0,2.0,87.0
16,"Perkins, Archie",12,7,8,20,1,,,4.0,,4.0,2.0,4.0,1.0,3.0,,7.0,13.0,2.0,1.0,2.0,,,76.0
34,"Phillips, Andrew",5,1,1,6,,1.0,17.0,3.0,,2.0,3.0,1.0,2.0,1.0,,4.0,1.0,,1.0,3.0,,,76.0
27,"Redman, Mason",17,8,7,24,,,,1.0,7.0,1.0,,3.0,,,,2.0,19.0,,,2.0,2.0,,82.0
11 ↑,"Snelling, Will",2,,3,5,,,,,,,,,,,,,4.0,,,2.0,,,18.0
5,"Tsatas, Elijah",12,4,11,23,1,,,3.0,1.0,2.0,4.0,3.0,1.0,1.0,,7.0,15.0,,,,,,60.0
20,"Wright, Peter",6,5,4,10,2,1.0,2.0,3.0,,2.0,2.0,2.0,,1.0,,5.0,6.0,2.0,3.0,3.0,,,94.0
30,"Zerk-Thatcher, Brandon",4,2,5,9,,,,4.0,,1.0,,1.0,2.0,1.0,,7.0,1.0,1.0,,6.0,,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,223,108,163,386,13,8.0,29.0,62.0,36.0,60.0,34.0,58.0,22.0,20.0,4.0,139.0,242.0,14.0,14.0,41.0,20.0,10.0,
Opposition,Opposition,187,70,162,349,12,5.0,40.0,63.0,45.0,47.0,39.0,58.0,20.0,22.0,2.0,130.0,217.0,7.0,10.0,40.0,6.0,10.0,
