St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
20,"Armitage, David",23y 351d,60 (31-1-28 52.50%),37 (0.62),←,
27,"Blake, Jason",31y 78d,209 (116-5-88 56.70%),36 (0.17),←,
35,"Cripps, Jamie",20y 39d,12 (5-0-7 41.67%),12 (1.00),←,
26,"Dal Santo, Nick",28y 100d,226 (133-5-88 59.96%),126 (0.56),←,
24,"Dempster, Sean",28y 133d,129 (77-3-49 60.85%),17 (0.13),75 (42-3-30 58.00%),9 (0.12)
19,"Gilbert, Sam",25y 287d,120 (75-4-41 64.17%),22 (0.18),←,
18,"Goddard, Brendon",27y 12d,195 (121-3-71 62.82%),97 (0.50),←,
1,"Gram, Jason",28y 35d,145 (87-4-54 61.38%),67 (0.46),143 (86-4-53 61.54%),67 (0.47)
33,"Gwilt, James",25y 295d,84 (53-3-28 64.88%),19 (0.23),←,
7,"Hayes, Lenny",32y 139d,251 (127-6-118 51.79%),84 (0.33),←,
4,"Jones, Clinton",28y 120d,107 (71-4-32 68.22%),29 (0.27),←,
23,"Koschitzke, Justin",29y 255d,185 (104-3-78 57.03%),232 (1.25),←,
32,"Milera, Terry",24y 145d,10 (5-0-5 50.00%),11 (1.10),←,
44,"Milne, Stephen",32y 85d,246 (134-5-107 55.49%),510 (2.07),←,
11,"Montagna, Leigh",28y 212d,179 (111-4-64 63.13%),104 (0.58),←,
16,"Newnes, Jack",19y 98d,4 (2-0-2 50.00%),,←,
22,"Ray, Farren",26y 70d,151 (88-4-59 59.60%),49 (0.32),76 (53-3-20 71.71%),17 (0.22)
12,"Riewoldt, Nick",29y 228d,229 (126-5-98 56.11%),497 (2.17),←,
21,"Saad, Ahmed",22y 236d,5 (2-0-3 40.00%),9 (1.80),←,
31,"Simpkin, Tom",21y 299d,11 (6-0-5 54.55%),,←,
2,"Siposs, Arryn",19y 189d,9 (4-0-5 44.44%),6 (0.67),←,
3,"Steven, Jack",22y 65d,40 (22-1-17 56.25%),32 (0.80),←,
Totals,Totals,26y 58d,2607 (1500-60-1047 57.54%),1996 (0.77),,
C,"Watters, Scott",43y 128d,10 (5-0-5 50.00%),,←,
