Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
29,"Ablett, Gary",15,3,11,26,4,2.0,,4.0,,4.0,4.0,2.0,1.0,1.0,3.0,11.0,15.0,1.0,3.0,,,2.0,96.0
3,"Bartel, Jimmy",9,8,16,25,,,,6.0,3.0,6.0,3.0,7.0,1.0,5.0,,10.0,15.0,,,1.0,1.0,,89.0
17,"Byrnes, Shannon",6,3,7,13,1,1.0,,7.0,,6.0,1.0,3.0,1.0,2.0,,5.0,8.0,,,1.0,1.0,,62.0
11,"Corey, Joel",16,7,13,29,1,,1.0,3.0,3.0,6.0,6.0,4.0,1.0,3.0,2.0,12.0,15.0,,1.0,4.0,,,86.0
44,"Enright, Corey",10,6,8,18,1,,,2.0,1.0,6.0,1.0,2.0,1.0,1.0,,4.0,14.0,1.0,1.0,3.0,1.0,3.0,81.0
16,"Gardiner, Charlie",6,5,6,12,1,1.0,,2.0,,1.0,2.0,1.0,1.0,,,5.0,6.0,1.0,3.0,,,1.0,69.0
2,"Harley, Tom",6,1,1,7,,,,,2.0,1.0,,2.0,1.0,1.0,,1.0,5.0,,,1.0,,,88.0
41,"Hunt, Josh",9,3,9,18,,,,3.0,8.0,3.0,2.0,3.0,,,,3.0,14.0,1.0,1.0,3.0,,1.0,75.0
28,"Johnson, David",6,3,2,8,,,,,2.0,1.0,,1.0,,,,,10.0,,,2.0,1.0,1.0,80.0
20,"Johnson, Steve",10,5,5,15,2,,,1.0,1.0,5.0,,4.0,1.0,2.0,,6.0,8.0,,4.0,,,2.0,61.0
9,"Kelly, James",6,5,5,11,,1.0,,2.0,1.0,2.0,1.0,5.0,,1.0,,5.0,7.0,1.0,1.0,1.0,1.0,,80.0
1,"King, Steven",9,3,4,13,1,,18.0,2.0,,1.0,1.0,,,,,3.0,7.0,,2.0,5.0,,,93.0
18,"Kingsley, Kent",5,3,3,8,1,1.0,,,,,,,,,,2.0,6.0,,2.0,,,1.0,93.0
45,"Ling, Cameron",14,3,8,22,,,,2.0,,6.0,2.0,4.0,1.0,1.0,,7.0,15.0,,,1.0,,1.0,95.0
39,"Milburn, Darren",13,3,9,22,2,,3.0,3.0,1.0,5.0,3.0,,,,1.0,8.0,14.0,,1.0,8.0,2.0,,95.0
21,"Mooney, Cameron",9,7,4,13,,,,,5.0,1.0,,1.0,,,,4.0,10.0,1.0,,4.0,2.0,1.0,100.0
6,"Ottens, Brad",6,5,8,14,3,1.0,13.0,,,,4.0,1.0,2.0,,,9.0,5.0,1.0,4.0,1.0,,1.0,100.0
22,"Playfair, Henry",9,10,6,15,,2.0,,2.0,,5.0,,,,,,3.0,12.0,2.0,3.0,2.0,,,96.0
15,"Riccardi, Peter",7,3,2,9,,,1.0,,1.0,3.0,2.0,,,,,3.0,6.0,,,,,1.0,38.0
33,"Rooke, Max",6,3,5,11,1,,,1.0,3.0,1.0,,2.0,,2.0,,4.0,7.0,,,2.0,1.0,,82.0
30,"Scarlett, Matthew",7,6,6,13,,,,2.0,3.0,2.0,,1.0,,,,5.0,8.0,2.0,,6.0,,1.0,89.0
14,"Thurley, Cameron",5,2,3,8,4,,,,,,,1.0,1.0,,,1.0,7.0,,2.0,,,,53.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,189,97,141,330,22,11.0,36.0,42.0,34.0,65.0,32.0,44.0,12.0,19.0,6.0,111.0,214.0,11.0,28.0,45.0,10.0,16.0,
Opposition,Opposition,147,59,111,258,10,13.0,28.0,44.0,47.0,42.0,35.0,38.0,19.0,12.0,,118.0,141.0,9.0,14.0,62.0,22.0,7.0,
