Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",19y 193d,25 (6-0-19 24.00%),16 (0.64),←,
22,"Bain, David",24y 339d,44 (11-0-33 25.00%),29 (0.66),←,
8,"Cameron, David",27y 2d,43 (22-0-21 51.16%),74 (1.72),2 (0-0-2 0.00%),3 (1.50)
25,"Campbell, Matthew",27y 66d,47 (12-0-35 25.53%),17 (0.36),←,
1,"Champion, Richard",22y 357d,2 (0-0-2 0.00%),1 (0.50),←,
12,"Clarke, Troy",21y 302d,2 (0-0-2 0.00%),1 (0.50),←,
2,"Curran, Peter",28y 265d,111 (81-0-30 72.97%),198 (1.78),2 (0-0-2 0.00%),2 (1.00)
38,"Gibson, Michael",25y 157d,51 (19-0-32 37.25%),3 (0.06),48 (19-0-29 39.58%),3 (0.06)
14,"Hamilton, Shane",20y 231d,29 (12-0-17 41.38%),41 (1.41),2 (0-0-2 0.00%),1 (0.50)
5,"Hardie, Brad",28y 178d,130 (50-0-80 38.46%),181 (1.39),83 (22-0-61 26.51%),153 (1.84)
17,"Leslie, Martin",28y 140d,35 (9-0-26 25.71%),3 (0.09),←,
16,"Lester-Smith, Rod",31y 262d,105 (60-1-44 57.62%),37 (0.35),35 (8-0-27 22.86%),14 (0.40)
7,"McIvor, Scott",24y 240d,122 (45-0-77 36.89%),46 (0.38),67 (19-0-48 28.36%),31 (0.46)
19,"McLean, Michael",26y 34d,97 (47-2-48 49.48%),23 (0.24),2 (0-0-2 0.00%),
24,"Merrett, Roger",30y 352d,207 (113-2-92 55.07%),225 (1.09),58 (16-0-42 27.59%),77 (1.33)
26,"Noonan, Danny",22y 128d,1 (0-0-1 0.00%),,←,
28,"OBrien, Cameron",24y 190d,35 (12-0-23 34.29%),40 (1.14),34 (12-0-22 35.29%),40 (1.18)
3,"Reynoldson, Steve",28y 212d,142 (57-0-85 40.14%),87 (0.61),58 (17-0-41 29.31%),17 (0.29)
46,"Wearne, David",20y 331d,10 (2-0-8 20.00%),1 (0.10),←,
21,"Zanotti, Mark",26y 149d,70 (25-0-45 35.71%),7 (0.10),34 (8-0-26 23.53%),1 (0.03)
Totals,Totals,25y 206d,1308 (583-5-720 44.57%),1030 (0.79),,
C,"Walls, Robert",40y 259d,201 (115-1-85 57.46%),,2 (0-0-2 0.00%),
