Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
19,"Beveridge, Luke",24y 327d,70 (41-1-28 59.29%),68 (0.97),28 (17-1-10 62.50%),27 (0.96)
18,"Cameron, Leon",22y 317d,100 (52-2-46 53.00%),43 (0.43),←,
16,"Croft, Matthew",22y 140d,34 (20-1-13 60.29%),17 (0.50),←,
1,"Grgic, Ilija",23y 133d,45 (26-1-18 58.89%),67 (1.49),←,
29,"Griffin, Daryl",19y 174d,7 (3-1-3 50.00%),,←,
37,"Hargraves, Daniel",19y 173d,9 (5-0-4 55.56%),11 (1.22),←,
10,"Hunter, Mark",29y 316d,119 (58-2-59 49.58%),9 (0.08),←,
4,"Kellett, Nigel",25y 210d,70 (37-1-32 53.57%),30 (0.43),←,
2,"Kolyniuk, Steven",25y 11d,101 (51-1-49 50.99%),119 (1.18),←,
12,"Koster, Kym",22y 165d,30 (16-1-13 55.00%),10 (0.33),←,
39,"Liberatore, Tony",29y 155d,143 (79-2-62 55.94%),71 (0.50),←,
9,"Nicholson, Brad",21y 42d,21 (11-1-9 54.76%),1 (0.05),←,
44,"Osborne, Richard",31y 30d,236 (99-1-136 42.16%),518 (2.19),33 (18-1-14 56.06%),68 (2.06)
22,"Quill, Peter",25y 327d,36 (22-1-13 62.50%),14 (0.39),←,
11,"Romero, Jose",23y 349d,102 (55-0-47 53.92%),104 (1.02),13 (6-0-7 46.15%),6 (0.46)
34,"Sexton, Ben",22y 260d,34 (18-1-15 54.41%),27 (0.79),←,
5,"Smith, Rohan",22y 46d,45 (26-1-18 58.89%),23 (0.51),←,
8,"Southern, Daniel",20y 196d,36 (17-1-18 48.61%),7 (0.19),←,
17,"Standfield, Barry",25y 153d,89 (49-1-39 55.62%),37 (0.42),←,
7,"West, Scott",20y 244d,55 (29-1-25 53.64%),33 (0.60),←,
15,"Wynd, Scott",25y 172d,118 (60-2-56 51.69%),23 (0.19),←,
Totals,Totals,23y 362d,1500 (774-23-703 51.60%),1232 (0.82),,
C,"Joyce, Alan",52y 268d,130 (86-1-43 66.54%),,37 (19-1-17 52.70%),
