Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",29y 56d,207 (128-0-79 61.84%),118 (0.57),←,
38,"Baird, John",21y 342d,8 (4-0-4 50.00%),,←,
22,"Burton, Matthew",32y,122 (48-0-74 39.34%),53 (0.43),52 (26-0-26 50.00%),21 (0.40)
23,"Clayton, Shane",23y 207d,95 (49-0-46 51.58%),44 (0.46),77 (47-0-30 61.04%),43 (0.56)
45,"Cochrane, Stuart",23y 303d,41 (19-0-22 46.34%),8 (0.20),←,
2,"Colbert, Leigh",26y 346d,141 (81-1-59 57.80%),62 (0.44),36 (19-0-17 52.78%),12 (0.33)
6,"Grant, Shannon",25y 30d,160 (97-1-62 60.94%),181 (1.13),102 (65-0-37 63.73%),143 (1.40)
39,"Harding, Leigh",21y 23d,9 (4-0-5 44.44%),9 (1.00),←,
14,"Harris, Daniel",20y 9d,9 (2-0-7 22.22%),1 (0.11),←,
29,"Harvey, Brent",24y 5d,117 (74-0-43 63.25%),131 (1.12),←,
34,"King, David",30y 73d,184 (118-0-66 64.13%),95 (0.52),←,
27,"Lange, Adam",23y 127d,28 (18-0-10 64.29%),22 (0.79),←,
35,"Makepeace, Troy",23y 74d,47 (24-0-23 51.06%),12 (0.26),←,
5,"McCartney, Jason",28y 66d,175 (96-0-79 54.86%),59 (0.34),100 (62-0-38 62.00%),11 (0.11)
32,"Morrell, Digby",22y 221d,11 (5-0-6 45.45%),10 (0.91),←,
28,"Pickett, Byron",24y 281d,106 (66-0-40 62.26%),56 (0.53),←,
17,"Porter, Mark",25y 220d,63 (32-0-31 50.79%),15 (0.24),8 (4-0-4 50.00%),2 (0.25)
30,"Robbins, Ben",25y 143d,60 (29-2-29 50.00%),16 (0.27),8 (4-0-4 50.00%),2 (0.25)
26,"Rocca, Saverio",28y 180d,185 (82-2-101 44.86%),580 (3.14),29 (12-0-17 41.38%),66 (2.28)
7,"Simpson, Adam",26y 92d,144 (94-0-50 65.28%),47 (0.33),←,
10,"Stevens, Anthony",30y 321d,241 (148-0-93 61.41%),105 (0.44),←,
40,"Teague, David",21y 14d,11 (5-0-6 45.45%),1 (0.09),←,
Totals,Totals,25y 126d,2164 (1223-6-935 56.52%),1625 (0.75),,
C,"Pagan, Denis",54y 237d,225 (142-0-83 63.11%),,←,
