Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",26y 206d,183 (102-0-81 55.74%),173 (0.95),←,
31,"Dale, Bailey",25y 331d,98 (54-0-44 55.10%),73 (0.74),←,
35,"Daniel, Caleb",25y 346d,147 (81-0-66 55.10%),37 (0.25),←,
5,"Dunkley, Josh",25y 160d,106 (60-0-46 56.60%),58 (0.55),←,
15,"Duryea, Taylor",31y 55d,171 (116-1-54 68.13%),25 (0.15),53 (34-0-19 64.15%),4 (0.08)
44,"English, Tim",24y 312d,77 (43-0-34 55.84%),41 (0.53),←,
43,"Gardner, Ryan",25y 17d,34 (21-0-13 61.76%),2 (0.06),←,
39,"Johannisen, Jason",29y 222d,169 (87-0-82 51.48%),62 (0.37),←,
42,"Keath, Alex",30y 149d,79 (47-1-31 60.13%),5 (0.06),49 (31-0-18 63.27%),4 (0.08)
21,"Liberatore, Tom",30y 33d,186 (90-0-96 48.39%),70 (0.38),←,
11,"Macrae, Jack",27y 319d,198 (106-0-92 53.54%),46 (0.23),←,
27,"McComb, Robbie",26y 181d,8 (5-0-3 62.50%),5 (0.63),←,
30,"McNeil, Lachlan",21y 129d,23 (16-0-7 69.57%),17 (0.74),←,
33,"Naughton, Aaron",22y 200d,91 (52-0-39 57.14%),131 (1.44),←,
22,"OBrien, Tim",28y 82d,106 (56-3-47 54.25%),73 (0.69),9 (5-0-4 55.56%),
20,"Richards, Ed",22y 350d,76 (39-0-37 51.32%),24 (0.32),←,
13,"Schache, Josh",24y 301d,69 (23-0-46 33.33%),75 (1.09),42 (20-0-22 47.62%),50 (1.19)
28,"Scott, Anthony",27y 110d,32 (22-0-10 68.75%),17 (0.53),←,
1,"Treloar, Adam",29y 101d,203 (89-1-113 44.09%),121 (0.60),30 (19-0-11 63.33%),24 (0.80)
2,"Ugle-Hagan, Jamarra",20y 75d,12 (6-0-6 50.00%),12 (1.00),←,
19,"Weightman, Cody",21y 154d,30 (17-0-13 56.67%),50 (1.67),←,
14,"West, Rhylee",21y 341d,17 (12-0-5 70.59%),7 (0.41),←,
34,"Williams, Bailey",24y 251d,94 (51-0-43 54.26%),16 (0.17),←,
Totals,Totals,25y 304d,2209 (1195-6-1008 54.10%),1140 (0.52),,
C,"Beveridge, Luke",51y 299d,173 (99-0-74 57.23%),,←,
