Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
2,"Bellchambers, Tom",31y 17d,133 (60-2-71 45.86%),76 (0.57),←,
28,"Cahill, Ned",19y 197d,2 (1-0-1 50.00%),2 (1.00),←,
10,"Francis, Aaron",22y 351d,31 (16-0-15 51.61%),6 (0.19),←,
8,"Gleeson, Martin",25y 336d,82 (30-1-51 37.20%),5 (0.06),←,
33,"Ham, Brayden",21y 92d,10 (5-0-5 50.00%),3 (0.30),←,
46,"Hibberd, Mitchell",23y 307d,8 (3-0-5 37.50%),,4 (3-0-1 75.00%),
18,"Hurley, Michael",30y 55d,186 (90-3-93 49.19%),108 (0.58),←,
4,"Langford, Kyle",23y 238d,72 (31-0-41 43.06%),48 (0.67),←,
15,"Laverde, Jayden",24y 105d,45 (20-0-25 44.44%),35 (0.78),←,
43,"McDonald-Tipungwuti, Anthony",27y 95d,96 (44-0-52 45.83%),109 (1.14),←,
1,"McGrath, Andrew",22y 54d,71 (39-0-32 54.93%),15 (0.21),←,
45,"McKenna, Conor",24y 120d,76 (35-0-41 46.05%),19 (0.25),←,
44,"McKernan, Shaun",29y 329d,84 (37-0-47 44.05%),72 (0.86),50 (25-0-25 50.00%),51 (1.02)
7,"Merrett, Zach",24y 297d,132 (59-1-72 45.08%),45 (0.34),←,
3,"Parish, Darcy",23y 1d,83 (37-0-46 44.58%),35 (0.42),←,
27,"Redman, Mason",22y 335d,31 (17-0-14 54.84%),1 (0.03),←,
14,"Ridley, Jordan",21y 280d,16 (10-0-6 62.50%),,←,
42,"Saad, Adam",26y 3d,99 (42-1-56 42.93%),6 (0.06),51 (29-0-22 56.86%),3 (0.06)
5,"Smith, Devon",27y 67d,145 (57-2-86 40.00%),124 (0.86),36 (19-0-17 52.78%),24 (0.67)
40,"Snelling, Will",22y 355d,12 (8-0-4 66.67%),9 (0.75),11 (7-0-4 63.64%),8 (0.73)
20,"Townsend, Jacob",27y 36d,55 (24-0-31 43.64%),39 (0.71),7 (5-0-2 71.43%),7 (1.00)
11,"Zaharakis, David",30y 156d,214 (100-2-112 47.20%),130 (0.61),←,
Totals,Totals,25y 41d,1683 (765-12-906 45.45%),887 (0.53),,
C,"Worsfold, John",51y 305d,378 (193-2-183 51.32%),,97 (44-0-53 45.36%),
