Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
31,"Alexander, Colin",14,2,4,18,1,,,1.0,,,,,1.0,2.0,,,,,,,,,
10,"Ashcroft, Marcus",13,1,3,16,,1.0,,1.0,,,,,,2.0,,,,,,,,,
22,"Bain, David",11,5,7,18,,,,2.0,,,,,,1.0,,,,,,,,,
25,"Campbell, Matthew",14,6,3,17,1,,,2.0,,,,,1.0,,,,,,,,,,
1,"Champion, Richard",15,6,3,18,,,,2.0,,,,,1.0,1.0,,,,,,,,,
12,"Clarke, Troy",8,3,7,15,,1.0,,2.0,,,,,2.0,1.0,,,,,,,,,
2,"Curran, Peter",1,,1,2,,,,1.0,,,,,1.0,,,,,,,,,,
4,"Gastev, John",10,3,12,22,,,,2.0,,,,,2.0,2.0,,,,,,,,,
14,"Hamilton, Shane",7,3,,7,,,,,,,,,,1.0,,,,,,,,,
11,"Hutton, John",12,4,1,13,3,2.0,1.0,,,,,,2.0,,,,,,,,,,
17,"Leslie, Martin",13,6,4,17,,,,2.0,,,,,1.0,,,,,,,,,,
16,"Luhrs, Simon",8,3,3,11,,,,2.0,,,,,2.0,1.0,,,,,,,,,
19,"McLean, Michael",10,3,3,13,1,,,2.0,,,,,1.0,1.0,,,,,,,,,
24,"Merrett, Roger",8,6,8,16,1,,3.0,1.0,,,,,4.0,,,,,,,,,,
26,"Noonan, Danny",11,5,7,18,,1.0,,4.0,,,,,1.0,2.0,,,,,,,,,
5,"Owen, Rod",7,2,1,8,1,,,,,,,,2.0,1.0,,,,,,,,,
44,"Palfreyman, Nigel",5,2,,5,,,,3.0,,,,,,2.0,,,,,,,,,
30,"Ryan, Matthew",13,,5,18,1,,,2.0,,,,,,,,,,,,,,,
23,"Schache, Laurence",6,6,,6,1,1.0,,2.0,,,,,,3.0,,,,,,,,,
33,"White, Darryl",6,5,7,13,,,9.0,1.0,,,,,,1.0,3.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,71,79,271,10,8.0,13.0,32.0,,,,,21.0,21.0,3.0,,,,,,,,
Opposition,Opposition,185,45,78,263,13,14.0,24.0,17.0,,,,,21.0,21.0,3.0,,,,,,,,
