Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",21y 189d,64 (13-1-50 21.09%),40 (0.63),←,
22,"Bain, David",26y 335d,79 (15-1-63 19.62%),43 (0.54),←,
11,"Buckley, Nathan",20y 250d,2 (0-0-2 0.00%),3 (1.50),←,
25,"Campbell, Matthew",29y 62d,79 (16-1-62 20.89%),28 (0.35),←,
1,"Champion, Richard",24y 353d,41 (6-1-34 15.85%),18 (0.44),←,
5,"Chapman, Nathan",17y 330d,2 (0-0-2 0.00%),1 (0.50),←,
6,"Fletcher, Adrian",23y 174d,47 (25-0-22 53.19%),22 (0.47),2 (0-0-2 0.00%),2 (1.00)
29,"Francis, Fabian",19y 160d,2 (1-0-1 50.00%),,1 (0-0-1 0.00%),
4,"Gastev, John",28y 234d,113 (35-1-77 31.42%),68 (0.60),83 (18-1-64 22.29%),37 (0.45)
2,"Green, Ashley",19y 361d,20 (4-1-15 22.50%),1 (0.05),←,
32,"Hart, Shaun",21y 320d,31 (6-1-24 20.97%),4 (0.13),←,
41,"Kennedy, Matthew",23y 57d,40 (6-0-34 15.00%),8 (0.20),←,
23,"Leppitsch, Justin",17y 183d,2 (0-0-2 0.00%),2 (1.00),←,
17,"Leslie, Martin",30y 136d,75 (15-1-59 20.67%),7 (0.09),←,
7,"McIvor, Scott",26y 236d,137 (49-0-88 35.77%),58 (0.42),82 (23-0-59 28.05%),43 (0.52)
24,"Merrett, Roger",32y 348d,245 (119-3-123 49.18%),276 (1.13),96 (22-1-73 23.44%),128 (1.33)
27,"Murphy, Michael",27y 206d,20 (6-0-14 30.00%),41 (2.05),1 (0-0-1 0.00%),
26,"Noonan, Danny",24y 124d,41 (6-1-34 15.85%),17 (0.41),←,
8,"Peos, Paul",25y 64d,52 (24-2-26 48.08%),30 (0.58),1 (0-0-1 0.00%),2 (2.00)
3,"Voss, Michael",17y 269d,8 (2-0-6 25.00%),6 (0.75),←,
Totals,Totals,24y 0d,1100 (348-14-738 31.64%),673 (0.61),,
C,"Walls, Robert",42y 255d,245 (122-2-121 50.20%),,46 (7-1-38 16.30%),
