Notes,Previous,Current
Adelaide's highest score conceded,"108 v Sydney - R3,1991","210 v Geelong - R8,1992"
Adelaide's biggest loss,"45 v Essendon - R4,1991","141 v Brisbane Lions - R17,2004"
