Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Allan, Ben",11,6,4,15,1,,,1.0,,,,,3.0,2.0,,,,,,,,,
8,"Anderson, Dean",13,4,4,17,1,,,4.0,,,,,1.0,,,,,,,,,,
7,"Ayres, Gary",3,3,2,5,3,,,,,,,,,1.0,,,,,,,,,
23,"Brereton, Dermott",15,12,6,21,2,1.0,,2.0,,,,,2.0,1.0,,,,,,,,,
4,"Collins, Andrew",11,2,6,17,,,,6.0,,,,,2.0,1.0,,,,,,,,,
26,"Cooper, Paul",,,,,,,,,,,,,,,,,,,,,,,
13,"Dear, Paul",8,4,9,17,,1.0,1.0,1.0,,,,,2.0,1.0,,,,,,,,,
6,"Hall, Tony",12,13,7,19,4,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,
33,"Hudson, Paul",17,12,14,31,4,3.0,,2.0,,,,,,,2.0,,,,,,,,
11,"Jarman, Darren",23,7,11,34,1,1.0,,2.0,,,,,1.0,4.0,3.0,,,,,,,,
1,"Jencke, Ray",12,6,11,23,1,1.0,,1.0,,,,,1.0,,,,,,,,,,
32,"Johnston, Michael",8,1,3,11,,1.0,,,,,,,,1.0,,,,,,,,,
24,"Langford, Chris",9,3,5,14,,,,3.0,,,,,4.0,2.0,,,,,,,,,
12,"Lawrence, Stephen",13,3,4,17,,,11.0,,,,,,,2.0,,,,,,,,,
31,"Madigan, Greg",5,,4,9,,,,3.0,,,,,,,,,,,,,,,
2,"Mew, Chris",5,1,4,9,,,,2.0,,,,,1.0,1.0,,,,,,,,,
44,"Platten, John",12,4,6,18,2,1.0,,4.0,,,,,2.0,2.0,,,,,,,,,
18,"Pritchard, Darrin",15,9,9,24,,3.0,,1.0,,,,,1.0,,,,,,,,,,
17,"Tuck, Michael",17,2,9,26,,,,2.0,,,,,4.0,,,,,,,,,,
10,"Wittman, Chris",9,2,8,17,,,,5.0,,,,,2.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,218,94,126,344,19,13.0,13.0,40.0,,,,,26.0,21.0,6.0,,,,,,,,
Opposition,Opposition,197,69,95,292,11,11.0,14.0,23.0,,,,,21.0,26.0,,,,,,,,,
