Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
32,"Bell, Peter",27y 64d,172 (98-0-74 56.98%),153 (0.89),49 (14-0-35 28.57%),33 (0.67)
9,"Carr, Matthew",24y 126d,77 (21-1-55 27.92%),28 (0.36),49 (14-0-35 28.57%),26 (0.53)
10,"Cook, Troy",26y 265d,115 (46-0-69 40.00%),49 (0.43),72 (22-0-50 30.56%),38 (0.53)
24,"Croad, Trent",23y 56d,109 (55-1-53 50.92%),126 (1.16),25 (11-0-14 44.00%),46 (1.84)
33,"Farmer, Jeff",25y 314d,144 (63-0-81 43.75%),295 (2.05),26 (11-0-15 42.31%),36 (1.38)
14,"Grover, Antoni",23y 54d,45 (14-0-31 31.11%),4 (0.09),←,
42,"Haddrill, Robert",22y 96d,14 (5-0-9 35.71%),,←,
4,"Hasleby, Paul",21y 326d,69 (21-0-48 30.43%),53 (0.77),←,
43,"Hayden, Roger",22y 146d,11 (5-0-6 45.45%),,←,
11,"Headland, Des",22y 103d,58 (43-0-15 74.14%),58 (1.00),6 (3-0-3 50.00%),6 (1.00)
28,"Koops, Steven",24y 284d,68 (25-0-43 36.76%),45 (0.66),←,
20,"Longmuir, Justin",22y 103d,62 (18-0-44 29.03%),75 (1.21),←,
8,"McManus, Shaun",27y 84d,129 (40-0-89 31.01%),64 (0.50),←,
34,"Medhurst, Paul",21y 144d,26 (11-0-15 42.31%),48 (1.85),←,
23,"Parker, Shane",30y 75d,152 (50-0-102 32.89%),9 (0.06),←,
29,"Pavlich, Matthew",21y 124d,67 (20-0-47 29.85%),61 (0.91),←,
12,"Polak, Graham",18y 322d,11 (6-0-5 54.55%),,←,
31,"Sandilands, Aaron",20y 149d,4 (2-0-2 50.00%),2 (0.50),←,
2,"Simmonds, Troy",24y 295d,66 (31-0-35 46.97%),21 (0.32),26 (11-0-15 42.31%),14 (0.54)
19,"Walker, James",24y 109d,81 (24-0-57 29.63%),8 (0.10),←,
26,"Waterhouse, Clive",28y 315d,94 (31-0-63 32.98%),168 (1.79),←,
6,"Woods, Dion",21y 99d,24 (8-0-16 33.33%),4 (0.17),←,
Totals,Totals,23y 315d,1598 (637-2-959 39.86%),1271 (0.80),,
C,"Connolly, Chris",40y 40d,29 (13-0-16 44.83%),,28 (12-0-16 42.86%),
