Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
30,"Allen, Scott",19y 70d,3 (1-0-2 33.33%),2 (0.67),←,
18,"Cameron, Leon",21y 220d,64 (33-1-30 52.34%),27 (0.42),←,
31,"Darcy, Anthony",22y 19d,14 (5-0-9 35.71%),2 (0.14),13 (5-0-8 38.46%),2 (0.15)
26,"Del-Re, Danny",26y 57d,60 (33-1-26 55.83%),138 (2.30),←,
3,"Grant, Chris",21y 118d,79 (43-1-35 55.06%),159 (2.01),←,
1,"Grgic, Ilija",22y 36d,12 (7-0-5 58.33%),21 (1.75),←,
7,"Hawkins, Doug",33y 340d,311 (133-4-174 43.41%),209 (0.67),←,
10,"Hunter, Mark",28y 219d,93 (44-2-47 48.39%),2 (0.02),←,
21,"Kolyniuk, Steven",23y 279d,78 (38-1-39 49.36%),94 (1.21),←,
12,"Koster, Kym",21y 68d,2 (0-0-2 0.00%),1 (0.50),←,
35,"Kretiuk, Steven",21y 280d,20 (13-0-7 65.00%),5 (0.25),←,
39,"Liberatore, Tony",28y 58d,107 (60-1-46 56.54%),61 (0.57),←,
2,"Reynolds, Keenan",25y 93d,59 (33-0-26 55.93%),25 (0.42),←,
34,"Sexton, Ben",21y 163d,23 (12-1-10 54.35%),23 (1.00),←,
8,"Southern, Daniel",19y 99d,3 (1-0-2 33.33%),,←,
17,"Standfield, Barry",24y 56d,55 (31-0-24 56.36%),21 (0.38),←,
29,"Thorpe, Alan",25y 174d,10 (5-1-4 55.00%),15 (1.50),7 (4-0-3 57.14%),10 (1.43)
24,"Wallis, Stephen",29y 165d,208 (110-2-96 53.37%),52 (0.25),←,
25,"Watts, Jason",22y 255d,3 (1-0-2 33.33%),,←,
28,"West, Robert",25y 34d,14 (8-0-6 57.14%),4 (0.29),1 (0-0-1 0.00%),
15,"Wynd, Scott",24y 75d,101 (51-1-49 50.99%),14 (0.14),←,
Totals,Totals,24y 50d,1319 (662-16-641 50.19%),875 (0.66),,
C,"Joyce, Alan",51y 171d,94 (67-0-27 71.28%),,1 (0-0-1 0.00%),
