Notes,Previous,Current
Greater Western Sydney's highest score,"158 v Hawthorn - R6,2016","162 v Essendon - R23,2023"
Greater Western Sydney's biggest win,"92 v Fremantle - R22,2016","126 v Essendon - R23,2023"
