West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
6,"Banfield, Drew",12,2,9,21,,,,3.0,,,,,3.0,2.0,,,,,,,,,
14,"Brennan, Michael",3,1,2,5,,,,,,,,,1.0,,,,,,,,,,
32,"Clape, Matt",6,3,2,8,,,,1.0,,,,,,,,,,,,,,,
18,"Evans, Tony",3,,2,5,1,,,1.0,,,,,,,,,,,,,,,
23,"Harding, Paul",5,3,3,8,,,9.0,,,,,,2.0,4.0,,,,,,,,,
36,"Hart, David",6,1,3,9,,,,1.0,,,,,,,,,,,,,,,
1,"Heady, Brett",9,6,5,14,6,,,1.0,,,,,1.0,,,,,,,,,,
27,"Jakovich, Glen",12,3,1,13,,,,1.0,,,,,,,,,,,,,,,
2,"Kemp, Dean",5,3,6,11,,,1.0,4.0,,,,,,2.0,,,,,,,,,
19,"Langdon, Karl",6,1,1,7,,2.0,,,,,,,,3.0,,,,,,,,,
28,"Lewis, Chris",11,5,3,14,2,1.0,1.0,,,,,,,2.0,,,,,,,,,
3,"Mainwaring, Chris",20,5,6,26,,,,1.0,,,,,1.0,1.0,,,,,,,,,
30,"Matera, Peter",7,,6,13,1,,,3.0,,,,,,1.0,,,,,,,,,
11,"McIntosh, Ashley",6,3,4,10,,,2.0,1.0,,,,,1.0,,,,,,,,,,
17,"McKenna, Guy",11,3,7,18,2,,,7.0,,,,,1.0,,,,,,,,,,
10,"Pyke, Don",23,3,1,24,,1.0,,3.0,,,,,2.0,3.0,,,,,,,,,
29,"Spinks, Brett",4,2,,4,,2.0,,,,,,,1.0,,,,,,,,,,
7,"Turley, Craig",3,,3,6,,1.0,,,,,,,,,,,,,,,,,
50,"Turnbull, Ryan",9,4,2,11,,,7.0,,,,,,,,,,,,,,,,
39,"Waterman, Chris",10,3,2,12,,,,1.0,,,,,1.0,,,,,,,,,,
9,"Wilson, Peter",10,3,8,18,,1.0,2.0,1.0,,,,,1.0,3.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,181,54,76,257,12,12.0,22.0,29.0,,,,,15.0,21.0,,,,,,,,,
Opposition,Opposition,184,75,122,306,18,13.0,27.0,33.0,,,,,21.0,15.0,6.0,,,,,,,,
