Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",22y 173d,58 (24-2-32 43.10%),31 (0.53),←,
35,"Baxter, Darren",26y 87d,94 (42-3-49 46.28%),15 (0.16),←,
18,"Cameron, Leon",18y 285d,31 (16-1-14 53.23%),15 (0.48),←,
20,"Coleman, Glenn",30y 131d,157 (84-2-71 54.14%),88 (0.56),32 (16-1-15 51.56%),24 (0.75)
22,"Cullen, Mark",22y 264d,35 (14-1-20 41.43%),25 (0.71),←,
26,"Del-Re, Danny",23y 122d,23 (11-1-11 50.00%),32 (1.39),←,
12,"Eppelstun, Greg",24y 210d,91 (45-2-44 50.55%),1 (0.01),←,
45,"Ford, Michael",28y 246d,91 (44-2-45 49.45%),18 (0.20),←,
32,"Foster, Peter",31y 12d,140 (73-3-64 53.21%),51 (0.36),133 (70-3-60 53.76%),49 (0.37)
19,"Gow, Paul",22y 18d,7 (3-1-3 50.00%),,←,
29,"Grant, Chris",18y 183d,26 (13-1-12 51.92%),57 (2.19),←,
7,"Hawkins, Doug",31y 40d,255 (102-4-149 40.78%),150 (0.59),←,
43,"Hogg, Matthew",22y 175d,55 (23-2-30 43.64%),4 (0.07),←,
10,"Hunter, Mark",25y 284d,51 (21-2-28 43.14%),2 (0.04),←,
31,"Krakouer, Phil",31y 150d,148 (82-4-62 56.76%),231 (1.56),7 (3-1-3 50.00%),7 (1.00)
39,"Liberatore, Tony",25y 123d,49 (27-1-21 56.12%),32 (0.65),←,
27,"Macpherson, Stephen",26y 194d,130 (60-3-67 47.31%),133 (1.02),←,
14,"Reynolds, Keenan",22y 158d,20 (11-0-9 55.00%),1 (0.05),←,
34,"Sexton, Ben",18y 228d,5 (2-1-2 50.00%),10 (2.00),←,
15,"Wynd, Scott",21y 140d,47 (20-1-26 43.62%),7 (0.15),←,
Totals,Totals,24y 252d,1513 (717-37-759 47.39%),903 (0.60),,
C,"Wheeler, Terry",36y 93d,34 (17-1-16 51.47%),,←,
