Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
31,"Bower, Brendan",24y 337d,88 (28-0-60 31.82%),18 (0.20),←,
16,"Cloke, David",36y 160d,326 (184-2-140 56.75%),315 (0.97),212 (120-2-90 57.08%),264 (1.25)
30,"Free, Tony",22y 10d,64 (20-0-44 31.25%),23 (0.36),←,
25,"Gale, Brendon",22y 354d,36 (11-0-25 30.56%),31 (0.86),←,
24,"Goodwin, Andy",28y 8d,49 (15-0-34 30.61%),9 (0.18),←,
34,"Hogg, Jeff",24y 265d,100 (30-0-70 30.00%),184 (1.84),←,
33,"Knights, Matthew",20y 275d,60 (18-0-42 30.00%),42 (0.70),←,
4,"Lambert, Craig",22y 275d,75 (21-0-54 28.00%),28 (0.37),←,
26,"Leys, Brian",23y 150d,62 (20-0-42 32.26%),6 (0.10),←,
7,"Mitchell, Michael",29y 224d,76 (22-0-54 28.95%),100 (1.32),←,
6,"Naish, Chris",19y 283d,18 (5-0-13 27.78%),29 (1.61),←,
35,"Pickering, Michael",27y 219d,130 (43-0-87 33.08%),157 (1.21),←,
21,"Powell, Tim",23y 84d,42 (12-0-30 28.57%),31 (0.74),←,
32,"Ryan, Des",23y 274d,50 (16-0-34 32.00%),28 (0.56),←,
43,"Scott, Allister",20y 13d,4 (0-0-4 0.00%),6 (1.50),←,
17,"Smith, Craig",24y 161d,55 (13-0-42 23.64%),16 (0.29),←,
41,"Turner, Scott",21y 37d,15 (4-0-11 26.67%),,←,
12,"Underwood, Andrew",23y 358d,21 (11-0-10 52.38%),8 (0.38),9 (3-0-6 33.33%),4 (0.44)
3,"Weightman, Dale",31y 277d,244 (111-2-131 45.90%),317 (1.30),←,
20,"Young, Barry",21y 11d,36 (12-0-24 33.33%),21 (0.58),←,
Totals,Totals,24y 225d,1551 (596-4-951 38.43%),1369 (0.88),,
C,"Bartlett, Kevin",44y 123d,81 (24-0-57 29.63%),,←,
