Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
11,"Curley, Todd",23y 132d,12 (4-1-7 37.50%),13 (1.08),9 (2-1-6 27.78%),12 (1.33)
14,"Darcy, Luke",20y 318d,12 (3-1-8 29.17%),6 (0.50),←,
28,"Dimattina, Paul",21y 185d,3 (2-0-1 66.67%),,←,
32,"Ellis, Craig",20y 356d,13 (6-0-7 46.15%),,←,
3,"Grant, Chris",23y 164d,131 (67-3-61 52.29%),267 (2.04),←,
1,"Grgic, Ilija",24y 81d,57 (31-1-25 55.26%),88 (1.54),←,
37,"Hargraves, Daniel",20y 122d,21 (10-0-11 47.62%),31 (1.48),←,
6,"Johnson, Brad",19y 312d,39 (16-2-21 43.59%),21 (0.54),←,
4,"Kellett, Nigel",26y 159d,85 (43-2-40 51.76%),40 (0.47),←,
35,"Kretiuk, Steven",23y 326d,52 (30-1-21 58.65%),9 (0.17),←,
39,"Liberatore, Tony",30y 104d,160 (85-3-72 54.06%),77 (0.48),←,
44,"Osborne, Richard",31y 344d,253 (105-2-146 41.90%),548 (2.17),50 (24-2-24 50.00%),98 (1.96)
22,"Quill, Peter",26y 276d,51 (28-2-21 56.86%),17 (0.33),←,
36,"Romero, Jose",24y 298d,114 (59-1-54 52.19%),113 (0.99),25 (10-1-14 42.00%),15 (0.60)
5,"Smith, Rohan",22y 360d,62 (32-2-28 53.23%),27 (0.44),←,
8,"Southern, Daniel",21y 145d,41 (20-1-20 50.00%),8 (0.20),←,
24,"Wallis, Stephen",31y 211d,248 (127-4-117 52.02%),57 (0.23),←,
25,"Watts, Jason",24y 301d,39 (19-1-19 50.00%),27 (0.69),←,
7,"West, Scott",21y 193d,69 (34-1-34 50.00%),36 (0.52),←,
45,"Wira, Brad",24y 70d,9 (2-1-6 27.78%),,8 (2-1-5 31.25%),
15,"Wynd, Scott",26y 121d,135 (66-3-66 50.00%),24 (0.18),←,
Totals,Totals,24y 131d,1606 (789-32-785 49.13%),1409 (0.88),,
C,"Joyce, Alan",53y 217d,147 (92-2-53 63.27%),,54 (25-2-27 48.15%),
