Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
20,"Brogan, Dean",27y 214d,79 (55-1-23 70.25%),30 (0.38),←,
8,"Burgoyne, Shaun",23y 268d,97 (69-0-28 71.13%),100 (1.03),←,
30,"Chaplin, Troy",20y 143d,21 (10-1-10 50.00%),2 (0.10),←,
18,"Cornes, Kane",23y 192d,108 (70-1-37 65.28%),50 (0.46),←,
33,"Ebert, Brett",22y 240d,47 (24-1-22 52.13%),48 (1.02),←,
5,"Lade, Brendon",30y 6d,163 (93-3-67 57.98%),138 (0.85),←,
44,"Logan, Tom",21y 14d,4 (0-0-4 0.00%),,1 (0-0-1 0.00%),
34,"Lonie, Nathan",23y 134d,78 (26-0-52 33.33%),42 (0.54),14 (6-0-8 42.86%),7 (0.50)
22,"Mahoney, Josh",28y 258d,82 (41-0-41 50.00%),76 (0.93),52 (31-0-21 59.62%),66 (1.27)
15,"Motlop, Daniel",24y 122d,57 (22-1-34 39.47%),58 (1.02),10 (2-0-8 20.00%),5 (0.50)
16,"Pearce, Danyle",20y 100d,22 (10-0-12 45.45%),16 (0.73),←,
36,"Pettigrew, Michael",21y 122d,27 (12-0-15 44.44%),18 (0.67),←,
3,"Salopek, Steven",21y 25d,41 (24-0-17 58.54%),18 (0.44),←,
39,"Surjan, Jacob",20y 335d,18 (10-0-8 55.56%),4 (0.22),←,
23,"Symes, Brad",21y 131d,10 (5-0-5 50.00%),1 (0.10),←,
32,"Thomas, Matt",19y 139d,2 (0-0-2 0.00%),2 (1.00),←,
6,"Thomson, Adam",19y 329d,12 (7-0-5 58.33%),6 (0.50),←,
1,"Tredrea, Warren",27y 204d,190 (113-2-75 60.00%),426 (2.24),←,
2,"Wakelin, Darryl",31y 339d,240 (135-2-103 56.67%),12 (0.05),125 (82-1-42 66.00%),4 (0.03)
42,"Walsh, Peter",29y 357d,138 (66-1-71 48.19%),37 (0.27),34 (15-1-18 45.59%),6 (0.18)
24,"White, Damon",22y 334d,31 (15-1-15 50.00%),26 (0.84),←,
21,"Wilson, Michael",29y 237d,164 (87-4-73 54.27%),47 (0.29),←,
Totals,Totals,24y 60d,1631 (894-18-719 54.81%),1157 (0.71),,
C,"Williams, Mark",47y 329d,182 (110-2-70 60.99%),,←,
