Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Ah Chee, Callum",5,3,12,17,,,,2.0,1.0,3.0,3.0,2.0,2.0,,,8.0,10.0,,,1.0,,1.0,76.0
39,"Davis, Ryan",10,2,8,18,2,,,3.0,1.0,6.0,,,1.0,,,4.0,13.0,,,2.0,2.0,1.0,81.0
12,"Day, Sam",4,3,2,6,,1.0,,2.0,1.0,1.0,,,1.0,,,2.0,4.0,,1.0,,,,92.0
41,"Garlett, Jarrod",14,5,5,19,1,,,9.0,4.0,4.0,4.0,3.0,2.0,,,9.0,10.0,1.0,,1.0,,1.0,73.0
2,"Grant, Jarrad",7,4,10,17,,,,1.0,,1.0,1.0,2.0,1.0,1.0,,7.0,10.0,,,1.0,,2.0,79.0
14,"Hallahan, Mitch",10,2,9,19,1,,,5.0,1.0,2.0,4.0,2.0,2.0,1.0,,11.0,10.0,1.0,1.0,1.0,,,79.0
5,"Harbrow, Jarrod",15,3,9,24,,,,2.0,6.0,2.0,1.0,2.0,1.0,1.0,,4.0,21.0,,,1.0,1.0,,93.0
38,"Joyce, Jesse",10,6,5,15,,,,2.0,1.0,,2.0,,,,,3.0,12.0,,,2.0,,,83.0
28,"Kolodjashnij, Kade",13,10,7,20,,,,1.0,1.0,1.0,,2.0,,,,3.0,17.0,,,3.0,2.0,,90.0
23,"Lemmens, Sean",6,4,8,14,,,,,2.0,,,2.0,,,,4.0,11.0,,1.0,3.0,,,73.0
19,"Lynch, Tom",11,9,8,19,4,1.0,,,,2.0,,5.0,2.0,1.0,1.0,10.0,10.0,4.0,4.0,2.0,,2.0,97.0
4,"Martin, Jack",13,7,9,22,,,1.0,2.0,3.0,,3.0,3.0,,1.0,,8.0,15.0,,,4.0,,,80.0
32,"Matera, Brandon",15,6,5,20,2,1.0,,1.0,,4.0,1.0,1.0,,,,3.0,17.0,,1.0,,,2.0,71.0
17,"May, Steven",17,14,10,27,,,,,5.0,3.0,1.0,2.0,2.0,1.0,3.0,10.0,16.0,2.0,,2.0,2.0,,95.0
11,"Miller, Touk",5,,19,24,,,1.0,5.0,,3.0,2.0,4.0,1.0,,,12.0,12.0,,,2.0,,,84.0
22,"Nicholls, Tom",3,2,7,10,1,,18.0,5.0,,,1.0,1.0,,,,8.0,3.0,1.0,1.0,2.0,,,78.0
3,"Rosa, Matt",9,5,12,21,,,,7.0,2.0,3.0,2.0,1.0,,1.0,,6.0,15.0,,,1.0,,,79.0
36,"Schoenfeld, Josh",6,3,6,12,,,,1.0,,3.0,2.0,2.0,1.0,1.0,,6.0,8.0,,,3.0,,1.0,80.0
6,"Sexton, Alex",4,2,1,5,,,,1.0,,3.0,1.0,1.0,,,,2.0,3.0,,,1.0,1.0,,49.0
26,"Shaw, Matt",12,3,8,20,,,,1.0,2.0,4.0,3.0,3.0,1.0,,,9.0,12.0,1.0,,2.0,,,84.0
16,"Thompson, Rory",10,12,5,15,,,,3.0,5.0,1.0,,,,,,4.0,11.0,2.0,,11.0,,,98.0
30,"Wright, Peter",10,4,6,16,2,,8.0,,,1.0,2.0,2.0,1.0,,,7.0,8.0,1.0,1.0,2.0,,,87.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,209,109,171,380,13,6.0,28.0,53.0,35.0,47.0,33.0,40.0,18.0,8.0,4.0,140.0,248.0,13.0,10.0,47.0,8.0,10.0,
Opposition,Opposition,224,100,177,401,14,8.0,59.0,74.0,33.0,53.0,44.0,55.0,8.0,18.0,2.0,147.0,259.0,18.0,13.0,43.0,20.0,12.0,
