Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",29y 210d,249 (139-0-110 55.82%),243 (0.98),←,
29,"Bramble, Lachlan",27y 64d,68 (31-2-35 47.06%),6 (0.09),38 (22-0-16 57.89%),4 (0.11)
17,"Coffield, Nick",25y 242d,61 (28-1-32 46.72%),2 (0.03),9 (6-0-3 66.67%),
31,"Dale, Bailey",28y 335d,169 (93-0-76 55.03%),85 (0.50),←,
10,"Darcy, Sam",21y 338d,36 (20-0-16 55.56%),63 (1.75),←,
42,"Davidson, Sam",23y 191d,14 (8-0-6 57.14%),9 (0.64),←,
26,"Dolan, Josh",18y 223d,10 (6-0-4 60.00%),1 (0.10),←,
44,"English, Tim",27y 316d,145 (80-0-65 55.17%),85 (0.59),←,
27,"Freijah, Joel",19y 220d,27 (17-0-10 62.96%),9 (0.33),←,
22,"Harmes, James",29y 260d,173 (92-0-81 53.18%),93 (0.54),21 (10-0-11 47.62%),15 (0.71)
6,"Hynes, Cooper",19y 114d,5 (4-0-1 80.00%),3 (0.60),←,
8,"Kennedy, Matthew",28y 77d,132 (64-3-65 49.62%),74 (0.56),14 (8-0-6 57.14%),17 (1.21)
24,"Khamis, Buku",25y 90d,40 (23-0-17 57.50%),20 (0.50),←,
21,"Liberatore, Tom",33y 37d,248 (124-0-124 50.00%),89 (0.36),←,
7,"Lobb, Rory",32y 133d,190 (105-2-83 55.79%),175 (0.92),50 (29-0-21 58.00%),32 (0.64)
30,"McNeil, Lachlan",24y 133d,67 (42-0-25 62.69%),38 (0.57),←,
33,"Naughton, Aaron",25y 204d,157 (87-0-70 55.41%),249 (1.59),←,
18,"ODonnell, James",22y 295d,39 (21-0-18 53.85%),6 (0.15),←,
20,"Richards, Ed",25y 354d,139 (74-0-65 53.24%),49 (0.35),←,
1,"Treloar, Adam",32y 105d,258 (120-1-137 46.71%),156 (0.60),85 (50-0-35 58.82%),59 (0.69)
23,"Vandermeer, Laitham",26y 139d,80 (44-0-36 55.00%),43 (0.54),←,
14,"West, Rhylee",24y 345d,72 (42-0-30 58.33%),68 (0.94),←,
34,"Williams, Bailey",27y 255d,165 (90-0-75 54.55%),42 (0.25),←,
Totals,Totals,26y 45d,2544 (1354-9-1181 53.22%),1608 (0.63),,
C,"Beveridge, Luke",54y 303d,244 (138-0-106 56.56%),,←,
