Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
14,"Bird, Craig",25y 128d,118 (71-2-45 61.02%),51 (0.43),←,
7,"Cunningham, Harry",20y 174d,16 (11-0-5 68.75%),11 (0.69),←,
19,"Derickx, Tom",26y 173d,11 (8-0-3 72.73%),5 (0.45),9 (7-0-2 77.78%),5 (0.56)
23,"Franklin, Lance",27y 119d,191 (115-1-75 60.47%),603 (3.16),9 (6-0-3 66.67%),23 (2.56)
37,"Goodes, Adam",34y 141d,336 (190-5-141 57.29%),416 (1.24),←,
39,"Grundy, Heath",27y 361d,149 (89-2-58 60.40%),23 (0.15),←,
4,"Hannebery, Dan",23y 94d,111 (70-2-39 63.96%),50 (0.45),←,
15,"Jack, Kieren",26y 335d,148 (86-3-59 59.12%),112 (0.76),←,
32,"Jetta, Lewis",25y 25d,88 (56-2-30 64.77%),77 (0.88),←,
12,"Kennedy, Josh",25y 343d,121 (74-2-45 61.98%),72 (0.60),108 (69-2-37 64.81%),68 (0.63)
11,"Laidler, Jeremy",24y 297d,35 (22-1-12 64.29%),5 (0.14),9 (7-0-2 77.78%),3 (0.33)
44,"Lloyd, Jake",20y 251d,6 (6-0-0 100.00%),2 (0.33),←,
9,"Malceski, Nick",29y 287d,161 (104-2-55 65.22%),63 (0.39),←,
21,"McGlynn, Ben",28y 296d,134 (78-2-54 58.96%),149 (1.11),90 (55-2-33 62.22%),121 (1.34)
3,"McVeigh, Jarrad",29y 52d,229 (137-4-88 60.70%),165 (0.72),←,
26,"Parker, Luke",21y 216d,67 (43-1-23 64.93%),47 (0.70),←,
24,"Rampe, Dane",23y 361d,33 (21-1-11 65.15%),3 (0.09),←,
20,"Reid, Sam",22y 153d,62 (42-2-18 69.35%),64 (1.03),←,
25,"Richards, Ted",31y 138d,216 (128-4-84 60.19%),32 (0.15),183 (109-4-70 60.66%),13 (0.07)
2,"Shaw, Rhyce",32y 225d,203 (111-1-91 54.93%),43 (0.21),109 (63-1-45 58.26%),23 (0.21)
40,"Smith, Nick",25y 351d,108 (65-2-41 61.11%),9 (0.08),←,
8,"Tippett, Kurt",27y 21d,119 (64-0-55 53.78%),235 (1.97),15 (11-0-4 73.33%),47 (3.13)
Totals,Totals,26y 157d,2662 (1591-39-1032 59.77%),2237 (0.84),,
C,"Longmire, John",43y 149d,84 (55-2-27 66.67%),,←,
