West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
6,"Banfield, Drew",21,2,7,28,,,,2.0,,,,,1.0,,,,,,,,,,
35,"Cousins, Ben",16,8,3,19,,2.0,,2.0,,,,,,3.0,,,,,,,,,
22,"Downsborough, Ian",3,,1,4,,,,1.0,,,,,,1.0,,,,,,,,,
18,"Evans, Tony",10,5,9,19,,,,7.0,,,,,,1.0,,,,,,,,,
7,"Gehrig, Fraser",7,1,3,10,,,3.0,2.0,,,,,1.0,,,,,,,,,,
1,"Heady, Brett",9,3,2,11,,,,2.0,,,,,,,,,,,,,,,
28,"Lewis, Chris",3,1,2,5,,,,3.0,,,,,,1.0,,,,,,,,,
5,"Lovell, Andy",15,3,5,20,1,,,,,,,,,1.0,,,,,,,,,
9,"Lyle, Brayden",8,2,6,14,,,,2.0,,,,,2.0,1.0,,,,,,,,,
3,"Mainwaring, Chris",3,,1,4,,,,2.0,,,,,,1.0,,,,,,,,,
30,"Matera, Peter",1,,,1,,,,1.0,,,,,,1.0,,,,,,,,,
11,"McIntosh, Ashley",3,1,,3,,,,3.0,,,,,1.0,,,,,,,,,,
17,"McKenna, Guy",12,4,6,18,,,,8.0,,,,,2.0,1.0,1.0,,,,,,,,
8,"Metropolis, Daniel",9,2,,9,,,,2.0,,,,,1.0,,,,,,,,,,
42,"Morrison, Chad",15,3,7,22,1,,,3.0,,,,,3.0,,,,,,,,,,
21,"Schofield, Jarrad",4,1,4,8,,,,1.0,,,,,1.0,,,,,,,,,,
4,"Sumich, Peter",3,,1,4,2,,,,,,,,,,,,,,,,,,
50,"Turnbull, Ryan",7,4,3,10,,1.0,19.0,3.0,,,,,1.0,1.0,,,,,,,,,
39,"Waterman, Chris",19,6,4,23,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,
12,"White, Mitchell",6,5,5,11,2,2.0,,2.0,,,,,,,,,,,,,,,
44,"Wirrpanda, David",5,3,4,9,,2.0,,,,,,,,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,179,54,73,252,6,14.0,22.0,47.0,,,,,14.0,15.0,1.0,,,,,,,,
Opposition,Opposition,212,45,70,282,12,13.0,25.0,34.0,,,,,15.0,14.0,5.0,,,,,,,,
