Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",25y 263d,166 (92-0-74 55.42%),151 (0.91),←,
12,"Cordy, Zaine",24y 291d,101 (55-0-46 54.46%),10 (0.10),←,
31,"Dale, Bailey",25y 23d,80 (44-0-36 55.00%),69 (0.86),←,
35,"Daniel, Caleb",25y 38d,129 (71-0-58 55.04%),37 (0.29),←,
5,"Dunkley, Josh",24y 217d,88 (50-0-38 56.82%),46 (0.52),←,
15,"Duryea, Taylor",30y 112d,155 (107-1-47 69.35%),24 (0.15),37 (25-0-12 67.57%),3 (0.08)
44,"English, Tim",24y 4d,64 (36-0-28 56.25%),34 (0.53),←,
38,"Garcia, Riley",20y 196d,9 (5-0-4 55.56%),4 (0.44),←,
29,"Hannan, Mitch",27y 158d,62 (36-0-26 58.06%),63 (1.02),12 (8-0-4 66.67%),8 (0.67)
7,"Hunter, Lachie",26y 244d,158 (85-0-73 53.80%),69 (0.44),←,
39,"Johannisen, Jason",28y 279d,163 (83-0-80 50.92%),58 (0.36),←,
42,"Keath, Alex",29y 206d,67 (40-1-26 60.45%),2 (0.03),37 (24-0-13 64.86%),1 (0.03)
21,"Liberatore, Tom",29y 90d,168 (80-0-88 47.62%),62 (0.37),←,
11,"Macrae, Jack",27y 11d,180 (96-0-84 53.33%),42 (0.23),←,
33,"Naughton, Aaron",21y 257d,73 (42-0-31 57.53%),88 (1.21),←,
28,"Scott, Anthony",26y 167d,20 (15-0-5 75.00%),9 (0.45),←,
6,"Smith, Bailey",20y 250d,62 (37-0-25 59.68%),26 (0.42),←,
1,"Treloar, Adam",28y 158d,185 (79-1-105 42.97%),105 (0.57),12 (9-0-3 75.00%),8 (0.67)
23,"Vandermeer, Laitham",22y 192d,18 (11-0-7 61.11%),12 (0.67),←,
19,"Weightman, Cody",20y 211d,15 (10-0-5 66.67%),23 (1.53),←,
34,"Williams, Bailey",23y 308d,77 (42-0-35 54.55%),11 (0.14),←,
10,"Wood, Easton",31y 344d,183 (96-0-87 52.46%),20 (0.11),←,
2,"Young, Lewis",22y 237d,21 (13-0-8 61.90%),1 (0.05),←,
Totals,Totals,25y 201d,2244 (1225-3-1016 54.59%),966 (0.43),,
C,"Beveridge, Luke",50y 356d,155 (89-0-66 57.42%),,←,
