North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
18,"Atley, Shaun",24y 250d,141 (76-0-65 53.90%),19 (0.13),←,
50,"Brown, Ben",24y 182d,64 (39-0-25 60.94%),117 (1.83),←,
13,"Clarke, Ryan",19y 338d,10 (4-0-6 40.00%),2 (0.20),←,
10,"Cunnington, Ben",25y 325d,153 (83-0-70 54.25%),63 (0.41),←,
27,"Garner, Taylor",23y 133d,22 (14-0-8 63.64%),13 (0.59),←,
43,"Gibson, Sam",30y 359d,117 (66-0-51 56.41%),48 (0.41),←,
22,"Goldstein, Todd",28y 324d,179 (95-1-83 53.35%),98 (0.55),←,
6,"Hansen, Lachlan",28y 277d,147 (72-1-74 49.32%),78 (0.53),←,
4,"Higgins, Shaun",29y 78d,170 (83-1-86 49.12%),186 (1.09),41 (25-0-16 60.98%),58 (1.41)
8,"Hrovat, Nathan",22y 348d,39 (17-0-22 43.59%),20 (0.51),9 (3-0-6 33.33%),6 (0.67)
34,"Macmillan, Jamie",25y 240d,113 (60-0-53 53.10%),42 (0.37),←,
11,"McDonald, Luke",22y 101d,61 (36-0-25 59.02%),7 (0.11),←,
17,"Mullett, Aaron",25y 87d,73 (37-0-36 50.68%),26 (0.36),←,
9,"Swallow, Andrew",29y 353d,214 (108-1-105 50.70%),77 (0.36),←,
25,"Tarrant, Robbie",28y 26d,93 (47-0-46 50.54%),42 (0.45),←,
16,"Thompson, Scott",31y 12d,187 (93-2-92 50.27%),6 (0.03),←,
28,"Turner, Kayne",21y 141d,30 (17-0-13 56.67%),28 (0.93),←,
33,"Vickers-Willis, Ed",21y 54d,5 (3-0-2 60.00%),,←,
30,"Waite, Jarrad",34y 106d,224 (94-4-126 42.86%),330 (1.47),40 (28-0-12 70.00%),78 (1.95)
2,"Williams, Marley",23y 303d,77 (39-0-38 50.65%),9 (0.12),9 (3-0-6 33.33%),3 (0.33)
32,"Wood, Mason",23y 250d,21 (11-0-10 52.38%),22 (1.05),←,
7,"Ziebell, Jack",26y 82d,156 (78-0-78 50.00%),95 (0.61),←,
Totals,Totals,25y 365d,2296 (1172-10-1114 51.05%),1328 (0.58),,
C,"Scott, Brad",41y 18d,166 (88-0-78 53.01%),,←,
