Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
13,"Adams, Taylor",21y 278d,53 (14-0-39 26.42%),16 (0.30),22 (11-0-11 50.00%),4 (0.18)
11,"Blair, Jarryd",25y 72d,113 (78-1-34 69.47%),89 (0.79),←,
29,"Broomhead, Tim",21y 95d,17 (7-0-10 41.18%),15 (0.88),←,
16,"Brown, Nathan",26y 190d,105 (67-1-37 64.29%),7 (0.07),←,
32,"Cloke, Travis",28y 112d,228 (144-2-82 63.60%),421 (1.85),←,
25,"Crisp, Jack",21y 266d,30 (15-0-15 50.00%),21 (0.70),12 (8-0-4 66.67%),11 (0.92)
35,"de Goey, Jordan",19y 102d,7 (5-0-2 71.43%),3 (0.43),←,
5,"Elliott, Jamie",22y 308d,64 (41-0-23 64.06%),96 (1.50),←,
1,"Fasolo, Alex",23y 17d,59 (41-0-18 69.49%),63 (1.07),←,
45,"Frost, Jack",23y 120d,36 (20-0-16 55.56%),,←,
6,"Goldsack, Tyson",28y 34d,136 (88-0-48 64.71%),48 (0.35),←,
8,"Langdon, Tom",21y 16d,31 (18-0-13 58.06%),,←,
43,"Oxley, Adam",22y 236d,14 (10-0-4 71.43%),4 (0.29),←,
10,"Pendlebury, Scott",27y 169d,204 (133-2-69 65.69%),136 (0.67),←,
40,"Seedsman, Paul",23y 154d,47 (27-0-20 57.45%),17 (0.36),←,
22,"Sidebottom, Steele",24y 174d,133 (93-2-38 70.68%),102 (0.77),←,
36,"Swan, Dane",31y 120d,248 (154-2-92 62.50%),201 (0.81),←,
34,"Toovey, Alan",28y 94d,142 (96-2-44 68.31%),9 (0.06),←,
18,"Varcoe, Travis",27y 76d,150 (122-0-28 81.33%),136 (0.91),12 (8-0-4 66.67%),6 (0.50)
9,"White, Jesse",27y 167d,101 (53-2-46 53.47%),111 (1.10),30 (18-0-12 60.00%),38 (1.27)
26,"Williams, Marley",21y 338d,49 (29-0-20 59.18%),4 (0.08),←,
15,"Witts, Jarrod",22y 285d,33 (18-0-15 54.55%),15 (0.45),←,
Totals,Totals,24y 189d,2000 (1273-14-713 63.65%),1514 (0.76),,
C,"Buckley, Nathan",42y 334d,82 (50-0-32 60.98%),,←,
