Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Allan, Ben",12,4,4,16,,1.0,,5.0,,,,,,1.0,,,,,,,,,
8,"Anderson, Dean",13,3,6,19,,3.0,,,,,,,2.0,,,,,,,,,,
23,"Brereton, Dermott",8,4,8,16,,,,3.0,,,,,1.0,1.0,,,,,,,,,
4,"Collins, Andrew",8,1,6,14,1,,,3.0,,,,,1.0,3.0,,,,,,,,,
3,"Condon, Anthony",13,3,13,26,,1.0,,3.0,,,,,3.0,,,,,,,,,,
13,"Dear, Paul",6,2,6,12,2,,3.0,,,,,,1.0,3.0,,,,,,,,,
19,"Dunstall, Jason",8,7,3,11,5,3.0,,,,,,,1.0,1.0,,,,,,,,,
6,"Hall, Tony",4,2,7,11,1,1.0,,,,,,,1.0,1.0,,,,,,,,,
33,"Hudson, Paul",16,3,4,20,3,3.0,,2.0,,,,,,2.0,2.0,,,,,,,,
11,"Jarman, Darren",20,5,6,26,1,4.0,,3.0,,,,,,2.0,,,,,,,,,
1,"Jencke, Ray",12,3,4,16,,2.0,,2.0,,,,,3.0,,,,,,,,,,
24,"Langford, Chris",13,5,1,14,,,,1.0,,,,,2.0,,,,,,,,,,
12,"Lawrence, Stephen",13,5,8,21,,,13.0,4.0,,,,,2.0,2.0,,,,,,,,,
2,"Mew, Chris",9,3,4,13,,,1.0,1.0,,,,,1.0,,,,,,,,,,
35,"Morrissey, James",18,3,5,23,1,1.0,,5.0,,,,,3.0,,,,,,,,,,
21,"Nugent, Glenn",9,3,2,11,,,,1.0,,,,,,,,,,,,,,,
18,"Pritchard, Darrin",9,,2,11,,2.0,,1.0,,,,,1.0,,,,,,,,,,
17,"Tuck, Michael",8,2,4,12,1,2.0,,3.0,,,,,1.0,1.0,,,,,,,,,
29,"Whittlesea, Gregory",6,3,5,11,,,,,,,,,2.0,2.0,,,,,,,,,
10,"Wittman, Chris",8,4,2,10,,,,1.0,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,213,65,100,313,15,24.0,17.0,38.0,,,,,26.0,20.0,2.0,,,,,,,,
Opposition,Opposition,190,74,153,343,14,19.0,9.0,20.0,,,,,20.0,26.0,4.0,,,,,,,,
