Notes,Previous,Current
Fremantle's lowest score,"85 v Richmond - R1,1995","13 v Adelaide - R15,2009"
Fremantle's highest score conceded,"90 v Richmond - R1,1995","181 v Brisbane Lions - R20,1999"
Fremantle's biggest loss,"5 v Richmond - R1,1995","133 v Geelong - R22,2018"
