Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Abraham, Winston",5,2,2,7,,1.0,,2.0,,4.0,,2.0,,,,3.0,4.0,,,1.0,1.0,,
11,"Archer, Glenn",19,9,4,23,1,1.0,,2.0,6.0,4.0,,,,2.0,,11.0,12.0,,,1.0,1.0,,
26,"Bell, Peter",14,3,8,22,1,1.0,,2.0,2.0,1.0,3.0,1.0,3.0,2.0,,10.0,13.0,,,,3.0,,
12,"Blakey, John",10,8,10,20,,,1.0,2.0,2.0,2.0,4.0,1.0,,1.0,,11.0,10.0,1.0,,,,,
22,"Burton, Matthew",4,3,8,12,,,29.0,,,3.0,4.0,2.0,1.0,2.0,,6.0,7.0,,1.0,,,,
18,"Carey, Wayne",15,11,5,20,4,1.0,1.0,1.0,2.0,4.0,3.0,3.0,,2.0,,11.0,9.0,5.0,4.0,2.0,,,
23,"Clayton, Shane",10,5,4,14,,,,2.0,3.0,2.0,2.0,2.0,2.0,,,7.0,10.0,,1.0,,,,
45,"Cochrane, Stuart",4,1,1,5,,,,,1.0,1.0,1.0,,,,,2.0,5.0,,,,,,
2,"Colbert, Leigh",12,4,4,16,1,,1.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,,6.0,10.0,1.0,1.0,1.0,,,
6,"Grant, Shannon",10,5,4,14,2,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,5.0,9.0,,2.0,4.0,,,
29,"Harvey, Brent",15,6,4,19,2,,,4.0,2.0,4.0,2.0,1.0,,1.0,,6.0,13.0,,3.0,1.0,1.0,,
21,"Hewitt, Evan",3,3,3,6,,,,,,1.0,1.0,1.0,,2.0,,1.0,4.0,,,2.0,1.0,,
34,"King, David",19,3,3,22,1,,,1.0,4.0,8.0,3.0,,,,,8.0,11.0,,1.0,,3.0,,
27,"Lange, Adam",7,8,8,15,1,,,2.0,1.0,3.0,1.0,1.0,1.0,,,10.0,8.0,3.0,1.0,1.0,,,
35,"Makepeace, Troy",6,1,2,8,,,,,3.0,4.0,1.0,,1.0,,,5.0,2.0,1.0,,1.0,,,
5,"McCartney, Jason",10,7,2,12,,,,,5.0,1.0,3.0,,,,,5.0,7.0,2.0,,1.0,,,
28,"Pickett, Byron",8,1,2,10,,,,,8.0,1.0,,3.0,1.0,,,3.0,3.0,,,3.0,6.0,,
13,"Pike, Martin",2,,1,3,,,,,1.0,,,,,,,4.0,,,,,,,
24,"Sholl, Craig",1,1,1,2,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,
7,"Simpson, Adam",12,1,2,14,1,,,,1.0,4.0,3.0,1.0,1.0,,,4.0,9.0,,,1.0,,,
30,"Stephens, Brad",1,,,1,,,,,,,,,,2.0,,1.0,2.0,,,1.0,,,
10,"Stevens, Anthony",14,2,6,20,,1.0,,1.0,1.0,2.0,3.0,2.0,,2.0,,6.0,13.0,,,1.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,201,84,84,285,14,7.0,32.0,21.0,44.0,55.0,37.0,25.0,12.0,20.0,,126.0,162.0,13.0,14.0,21.0,16.0,,
Opposition,Opposition,219,95,128,347,21,19.0,15.0,20.0,36.0,74.0,40.0,32.0,20.0,12.0,6.0,146.0,198.0,16.0,21.0,21.0,17.0,,
