Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
45,"Bond, Chris",24y 166d,31 (10-0-21 32.26%),11 (0.35),9 (2-0-7 22.22%),3 (0.33)
22,"Bower, Nathan",21y 33d,15 (4-0-11 26.67%),8 (0.53),←,
14,"Breman, Todd",27y 256d,45 (15-0-30 33.33%),35 (0.78),22 (5-0-17 22.73%),20 (0.91)
21,"Bulluss, Paul",23y 169d,13 (4-0-9 30.77%),5 (0.38),←,
9,"Campbell, Wayne",20y 291d,46 (14-0-32 30.43%),31 (0.67),←,
44,"Daffy, Nick",20y 61d,7 (2-0-5 28.57%),,←,
37,"Esler, Ty",21y 304d,6 (1-0-5 16.67%),,←,
30,"Free, Tony",24y 14d,102 (31-0-71 30.39%),32 (0.31),←,
34,"Hogg, Jeff",26y 269d,137 (41-0-96 29.93%),295 (2.15),←,
31,"Howat, John",22y 361d,32 (14-0-18 43.75%),10 (0.31),12 (4-0-8 33.33%),
48,"Kellaway, Duncan",20y 144d,8 (3-0-5 37.50%),,←,
33,"Knights, Matthew",22y 279d,102 (30-0-72 29.41%),72 (0.71),←,
4,"Lambert, Craig",24y 279d,116 (33-0-83 28.45%),53 (0.46),←,
26,"Leys, Brian",25y 154d,96 (31-0-65 32.29%),17 (0.18),←,
27,"Maxfield, Stuart",21y 93d,41 (9-0-32 21.95%),24 (0.59),←,
28,"McQueen, Mark",23y 183d,30 (7-0-23 23.33%),12 (0.40),←,
6,"Naish, Chris",21y 287d,59 (16-0-43 27.12%),87 (1.47),←,
12,"Richardson, Matthew",18y 114d,8 (3-0-5 37.50%),14 (1.75),←,
8,"Ryan, Stephen",23y 5d,43 (12-0-31 27.91%),39 (0.91),←,
24,"Schaefer, Robert",21y 147d,11 (4-0-7 36.36%),3 (0.27),←,
Totals,Totals,22y 290d,948 (284-0-664 29.96%),748 (0.79),,
C,"Northey, John",50y 12d,202 (100-1-101 49.75%),,13 (4-0-9 30.77%),
