North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Atley, Shaun",8,3,9,17,,,,1.0,1.0,1.0,,2.0,,1.0,,5.0,11.0,,,1.0,1.0,,82.0
50,"Brown, Ben",5,,3,8,2,1.0,3.0,2.0,,,,1.0,1.0,1.0,,7.0,1.0,,,1.0,,,73.0
10,"Cunnington, Ben",10,1,11,21,,,,3.0,1.0,6.0,7.0,3.0,2.0,2.0,,12.0,10.0,,,3.0,,,73.0
15,"Dal Santo, Nick",9,2,6,15,,,1.0,3.0,2.0,5.0,3.0,4.0,,2.0,,6.0,9.0,1.0,,1.0,1.0,1.0,83.0
11,"Firrito, Michael",7,5,3,10,,,,,3.0,2.0,,2.0,1.0,1.0,,6.0,3.0,3.0,,6.0,,,91.0
27 ↓,"Garner, Taylor",6,2,4,10,1,,,2.0,,3.0,1.0,,,,,3.0,7.0,2.0,1.0,2.0,,2.0,60.0
43,"Gibson, Sam",11,6,9,20,,,,3.0,,2.0,1.0,1.0,1.0,,,7.0,13.0,,1.0,,,,91.0
22,"Goldstein, Todd",7,3,6,13,,,46.0,2.0,,5.0,3.0,2.0,1.0,1.0,,9.0,5.0,2.0,,4.0,,1.0,91.0
6,"Hansen, Lachlan",11,9,10,21,,,,,2.0,2.0,,,1.0,,,9.0,14.0,2.0,,3.0,1.0,,90.0
29,"Harvey, Brent",16,2,15,31,2,,,1.0,2.0,3.0,7.0,3.0,1.0,,,14.0,18.0,,,1.0,1.0,2.0,87.0
4,"Higgins, Shaun",12,8,3,15,1,3.0,,4.0,1.0,6.0,4.0,2.0,2.0,1.0,,6.0,9.0,1.0,3.0,,,1.0,89.0
5,"Jacobs, Ben",4,3,5,9,,,,8.0,,2.0,1.0,1.0,,1.0,,4.0,5.0,1.0,1.0,,,,85.0
34,"Macmillan, Jamie",9,5,11,20,1,,,1.0,4.0,1.0,,1.0,1.0,,,9.0,11.0,1.0,1.0,3.0,,,83.0
28,"Nahas, Robin",7,2,2,9,1,,,4.0,,2.0,,1.0,1.0,,,5.0,3.0,,,1.0,1.0,1.0,86.0
20,"Petrie, Drew",12,5,1,13,2,3.0,,1.0,,2.0,,,,,,4.0,9.0,1.0,2.0,3.0,,1.0,92.0
9,"Swallow, Andrew",8,2,14,22,,,,9.0,1.0,2.0,7.0,1.0,5.0,,,13.0,9.0,,,,,,77.0
25,"Tarrant, Robbie",4,1,6,10,,,,3.0,2.0,1.0,1.0,3.0,,2.0,,7.0,4.0,,,4.0,,,88.0
12 ↑,"Thomas, Lindsay",3,1,,3,1,,,1.0,,,,3.0,,2.0,,,3.0,,,,,,24.0
16,"Thompson, Scott",6,3,3,9,,,,1.0,2.0,,,2.0,2.0,2.0,,4.0,6.0,1.0,,3.0,,,99.0
30,"Waite, Jarrad",12,8,4,16,4,2.0,,7.0,,3.0,1.0,4.0,1.0,,,6.0,10.0,2.0,5.0,,1.0,,90.0
19,"Wright, Sam",12,4,2,14,,,,1.0,4.0,5.0,1.0,1.0,1.0,1.0,,3.0,11.0,,,3.0,,1.0,89.0
7,"Ziebell, Jack",17,7,6,23,,1.0,1.0,2.0,2.0,2.0,5.0,5.0,,,,9.0,13.0,,,,,,78.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,196,82,133,329,15,15.0,51.0,59.0,27.0,55.0,42.0,42.0,21.0,17.0,,148.0,184.0,17.0,14.0,39.0,6.0,10.0,
Opposition,Opposition,177,83,106,283,14,4.0,31.0,51.0,35.0,42.0,35.0,45.0,17.0,21.0,,115.0,176.0,11.0,6.0,55.0,7.0,6.0,
