Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Bowden, Joel",11,10,10,21,,,,1.0,1.0,2.0,,1.0,1.0,,,7.0,15.0,2.0,,4.0,5.0,1.0,100.0
9,"Campbell, Wayne",10,3,8,18,,1.0,,1.0,,6.0,2.0,2.0,1.0,,,5.0,12.0,,1.0,,1.0,1.0,61.0
6,"Chaffey, Mark",14,8,4,18,,1.0,,1.0,1.0,6.0,2.0,,1.0,,,4.0,15.0,,,,1.0,,84.0
24,"Coughlan, Mark",12,7,11,23,,2.0,,5.0,2.0,7.0,4.0,1.0,2.0,,,9.0,14.0,,1.0,1.0,,,87.0
3,"Deledio, Brett",10,2,6,16,,,2.0,,,5.0,2.0,2.0,1.0,,,7.0,9.0,,,,4.0,,93.0
2,"Gaspar, Darren",4,2,7,11,,,,,2.0,,1.0,,,,,5.0,5.0,,,3.0,1.0,,100.0
34,"Graham, Mark",3,1,1,4,,,2.0,,,2.0,1.0,,,,,2.0,1.0,,,,,,56.0
20,"Hall, Ray",5,4,6,11,,,,1.0,3.0,1.0,,1.0,,1.0,,3.0,8.0,,,3.0,,,100.0
23,"Jackson, Daniel",3,1,1,4,,,,1.0,,1.0,,,,,,,4.0,,,,,1.0,28.0
17,"Johnson, Kane",16,6,14,30,,1.0,,1.0,7.0,5.0,3.0,3.0,2.0,2.0,,5.0,25.0,,,3.0,2.0,1.0,90.0
39,"Kellaway, Andrew",9,4,4,13,,,,2.0,2.0,,,2.0,,1.0,,3.0,11.0,,,2.0,,,100.0
13,"Knobel, Trent",2,2,8,10,,,8.0,2.0,1.0,1.0,1.0,1.0,,,,4.0,6.0,,1.0,1.0,,,41.0
27,"Krakouer, Andrew",9,3,3,12,2,4.0,,,,,1.0,3.0,1.0,1.0,,5.0,7.0,1.0,2.0,1.0,,,100.0
22,"Meyer, Danny",4,1,2,6,1,,,,,1.0,,3.0,,,,4.0,2.0,,,,,,67.0
35,"Newman, Chris",9,5,8,17,2,,,2.0,4.0,,,2.0,1.0,,,6.0,10.0,3.0,1.0,5.0,,,95.0
15,"Pettifer, Kayne",11,9,5,16,1,1.0,,,1.0,5.0,,1.0,,,,1.0,15.0,,1.0,1.0,1.0,1.0,90.0
4,"Raines, Andrew",10,3,7,17,,,,,4.0,1.0,1.0,1.0,1.0,1.0,,7.0,11.0,,,1.0,2.0,,69.0
12,"Richardson, Matthew",11,7,4,15,2,5.0,,,,2.0,,2.0,2.0,,,6.0,9.0,1.0,6.0,3.0,,1.0,100.0
5,"Simmonds, Troy",11,7,1,12,,2.0,11.0,,,4.0,2.0,2.0,,2.0,,2.0,10.0,,2.0,1.0,,,87.0
10,"Stafford, Greg",3,4,3,6,,,1.0,,,,,2.0,,1.0,,1.0,5.0,1.0,,2.0,,,66.0
32,"Tivendale, Greg",11,5,9,20,1,1.0,,1.0,2.0,7.0,1.0,5.0,,3.0,,7.0,14.0,1.0,,1.0,4.0,,100.0
21,"Tuck, Shane",12,8,14,26,1,,,,1.0,4.0,4.0,3.0,,,,11.0,15.0,2.0,1.0,,,,85.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,190,102,136,326,10,20.0,24.0,18.0,31.0,60.0,25.0,37.0,13.0,12.0,,104.0,223.0,11.0,16.0,32.0,21.0,6.0,
Opposition,Opposition,194,112,100,294,17,7.0,22.0,39.0,48.0,46.0,22.0,25.0,12.0,13.0,6.0,89.0,205.0,7.0,15.0,49.0,24.0,10.0,
