Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",12,9,1,13,,,1.0,4.0,5.0,,3.0,4.0,,4.0,,3,9,,,7.0,5.0,,90.0
16,"Brown, Leigh",6,3,1,7,,,3.0,,,3.0,,,,,,2,5,,,3.0,,,85.0
24,"Firrito, Michael",7,4,4,11,,1.0,1.0,,1.0,3.0,,3.0,1.0,1.0,,3,6,,1.0,5.0,,,87.0
6,"Grant, Shannon",12,9,9,21,1.0,4.0,,,1.0,5.0,3.0,4.0,,,,5,16,2.0,3.0,,,1.0,97.0
15,"Green, Kasey",7,4,3,10,,1.0,,3.0,1.0,1.0,,2.0,,1.0,,2,8,,,1.0,2.0,,88.0
31,"Hale, David",5,4,4,9,1.0,,18.0,2.0,,1.0,2.0,1.0,,1.0,,7,2,2.0,1.0,,,,69.0
39,"Harding, Leigh",15,5,4,19,,,,4.0,2.0,5.0,1.0,2.0,1.0,1.0,,5,15,,,1.0,1.0,2.0,65.0
4,"Harris, Daniel",6,2,9,15,,,,4.0,2.0,,7.0,1.0,,,,10,5,,,,1.0,,67.0
29,"Harvey, Brent",22,11,10,32,,,,2.0,4.0,4.0,2.0,2.0,,,1.0,6,24,,,,1.0,2.0,86.0
22,"Jones, Chad",1,2,2,3,,,,1.0,,,,1.0,,,,3,1,1.0,,,,,45.0
21,"Jones, Corey",9,3,5,14,1.0,2.0,,3.0,,2.0,3.0,6.0,3.0,3.0,,10,5,,2.0,2.0,,,81.0
35,"Makepeace, Troy",13,6,4,17,1.0,1.0,,2.0,4.0,3.0,2.0,3.0,1.0,,,4,13,1.0,1.0,7.0,,,84.0
20,"Petrie, Drew",8,4,4,12,,,8.0,7.0,2.0,2.0,3.0,2.0,,2.0,,5,6,,,6.0,,,77.0
30,"Pratt, Daniel",7,2,2,9,,,,2.0,1.0,,1.0,,1.0,,,3,5,,,2.0,,,91.0
3,"Rawlings, Brady",8,3,8,16,,1.0,,,,3.0,,3.0,1.0,1.0,,6,10,,2.0,3.0,1.0,3.0,88.0
26,"Rocca, Saverio",9,7,1,10,2.0,1.0,1.0,1.0,,4.0,,2.0,,1.0,,5,5,3.0,4.0,2.0,,,78.0
34,"Schwarze, Ben",7,5,4,11,1.0,,,2.0,,4.0,,2.0,,1.0,,1,10,,,,,1.0,82.0
7,"Simpson, Adam",14,7,8,22,,,1.0,3.0,4.0,3.0,3.0,2.0,,1.0,,7,14,2.0,1.0,3.0,,,75.0
9,"Sinclair, Jess",12,6,2,14,2.0,,,5.0,2.0,1.0,,,,,,1,13,,3.0,3.0,,,88.0
23,"Thompson, Nathan",12,10,1,13,4.0,1.0,,4.0,,2.0,,1.0,2.0,1.0,2.0,6,7,3.0,6.0,1.0,,,100.0
36,"Watt, Shannon",9,7,4,13,,,,2.0,5.0,1.0,1.0,,1.0,,,4,9,1.0,,6.0,1.0,,97.0
8,"Wells, Daniel",3,1,12,15,1.0,,1.0,2.0,1.0,2.0,2.0,,1.0,,,4,11,,,4.0,3.0,,79.0
Totals,Totals,204,114,102,306,14.0,12.0,34.0,53.0,35.0,49.0,33.0,41.0,12.0,18.0,3.0,102,199,15.0,24.0,56.0,15.0,9.0,
Opposition,Opposition,210,119,142,352,13.0,11.0,34.0,40.0,34.0,48.0,27.0,44.0,18.0,12.0,3.0,114,242,12.0,15.0,30.0,6.0,6.0,
