Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
17,"Frost, Sam",23y 315d,52 (21-0-31 40.38%),8 (0.15),31 (16-0-15 51.61%),6 (0.19)
36,"Garlett, Jeff",27y 340d,160 (81-1-78 50.94%),284 (1.77),53 (24-0-29 45.28%),101 (1.91)
11,"Gawn, Max",25y 191d,67 (23-0-44 34.33%),35 (0.52),←,
19,"Hannan, Mitch",23y 122d,14 (9-0-5 64.29%),18 (1.29),←,
43,"Harmes, James",21y 277d,37 (18-0-19 48.65%),24 (0.65),←,
14,"Hibberd, Michael",27y 187d,95 (47-1-47 50.00%),12 (0.13),11 (7-0-4 63.64%),1 (0.09)
1,"Hogan, Jesse",22y 147d,46 (18-0-28 39.13%),95 (2.07),←,
29,"Hunt, Jayden",22y 97d,34 (18-0-16 52.94%),8 (0.24),←,
39,"Jetta, Neville",27y 147d,109 (34-2-73 32.11%),24 (0.22),←,
16,"Kent, Dean",23y 135d,57 (17-0-40 29.82%),55 (0.96),←,
6,"Lewis, Jordan",31y 76d,276 (178-1-97 64.67%),150 (0.54),12 (9-0-3 75.00%),5 (0.42)
28,"McDonald, Oscar",21y 113d,30 (17-0-13 56.67%),,←,
25,"McDonald, Tom",24y 294d,119 (37-0-82 31.09%),26 (0.22),←,
18,"Melksham, Jake",25y 314d,126 (60-1-65 48.02%),62 (0.49),12 (8-0-4 66.67%),5 (0.42)
30,"Neal-Bullen, Alex",21y 181d,27 (13-0-14 48.15%),17 (0.63),←,
13,"Oliver, Clayton",19y 352d,28 (16-0-12 57.14%),8 (0.29),←,
21,"Pedersen, Cameron",30y 114d,71 (26-0-45 36.62%),60 (0.85),55 (19-0-36 34.55%),40 (0.73)
5,"Petracca, Christian",21y 186d,32 (16-0-16 50.00%),32 (1.00),←,
44,"Smith, Joel",21y 134d,2 (2-0-0 100.00%),,←,
15,"Stretch, Billy",20y 304d,35 (14-0-21 40.00%),8 (0.23),←,
23,"Vince, Bernie",31y 280d,207 (95-0-112 45.89%),111 (0.54),78 (27-0-51 34.62%),31 (0.40)
42,"Wagner, Josh",23y 15d,20 (9-0-11 45.00%),2 (0.10),←,
Totals,Totals,24y 180d,1644 (769-6-869 46.78%),1039 (0.63),,
C,"Goodwin, Simon",40y 195d,16 (9-0-7 56.25%),,15 (9-0-6 60.00%),
