West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
31,"Banfield, Drew",19y 162d,4 (3-0-1 75.00%),,←,
14,"Brennan, Michael",28y 40d,135 (81-2-52 60.74%),15 (0.11),←,
32,"Clape, Matt",24y 72d,21 (16-0-5 76.19%),12 (0.57),←,
18,"Evans, Tony",24y 55d,32 (25-0-7 78.13%),30 (0.94),←,
49,"Hall, Derek",22y 252d,2 (2-0-0 100.00%),3 (1.50),←,
23,"Harding, Paul",29y 65d,105 (57-2-46 55.24%),13 (0.12),32 (23-1-8 73.44%),4 (0.13)
36,"Hart, David",29y 158d,107 (67-1-39 63.08%),77 (0.72),←,
1,"Heady, Brett",23y 216d,71 (48-2-21 69.01%),108 (1.52),←,
22,"Hynes, David",26y 130d,42 (30-1-11 72.62%),36 (0.86),←,
27,"Jakovich, Glen",20y 137d,57 (39-1-17 69.30%),18 (0.32),←,
2,"Kemp, Dean",24y 172d,83 (60-2-21 73.49%),35 (0.42),←,
28,"Lewis, Chris",24y 144d,126 (78-2-46 62.70%),152 (1.21),←,
3,"Mainwaring, Chris",27y 224d,133 (82-2-49 62.41%),60 (0.45),←,
30,"Matera, Peter",24y 127d,69 (51-1-17 74.64%),81 (1.17),←,
11,"McIntosh, Ashley",20y 292d,48 (37-0-11 77.08%),49 (1.02),←,
17,"McKenna, Guy",24y 89d,119 (75-1-43 63.45%),9 (0.08),←,
10,"Pyke, Don",24y 246d,73 (45-0-28 61.64%),39 (0.53),←,
4,"Sumich, Peter",25y 209d,102 (67-2-33 66.67%),396 (3.88),←,
39,"Waterman, Chris",24y 323d,88 (57-2-29 65.91%),49 (0.56),←,
9,"Wilson, Peter",29y 266d,126 (72-0-54 57.14%),100 (0.79),72 (55-0-17 76.39%),61 (0.85)
Totals,Totals,24y 333d,1543 (992-21-530 64.29%),1282 (0.83),,
C,"Malthouse, Mick",39y 356d,229 (134-4-91 59.39%),,94 (67-2-25 72.34%),
