West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Brown, Mitch",9,7,13,22,,,,,3.0,2.0,1.0,2.0,,,,4.0,18.0,1.0,,3.0,,,80.0
26,"Butler, Sam",10,5,6,16,,,,2.0,4.0,1.0,,1.0,1.0,1.0,,3.0,14.0,,,4.0,,,83.0
18,"Ebert, Brad",9,6,4,13,1,,,1.0,1.0,3.0,1.0,3.0,1.0,1.0,,3.0,10.0,2.0,,4.0,,1.0,76.0
32,"Embley, Andrew",19,9,13,32,4,,,4.0,2.0,6.0,1.0,3.0,1.0,1.0,3.0,7.0,25.0,,2.0,2.0,1.0,,83.0
23,"Glass, Darren",5,7,11,16,,,,3.0,,,,,1.0,,,7.0,8.0,1.0,,6.0,,,95.0
19,"Houlihan, Tim",10,4,11,21,1,1.0,,2.0,2.0,3.0,3.0,3.0,1.0,,,6.0,16.0,,1.0,1.0,,,87.0
25,"Hurn, Shannon",21,10,10,31,,,,2.0,10.0,,,,,,2.0,4.0,20.0,,,3.0,,1.0,92.0
17,"Kennedy, Josh",12,9,6,18,4,,,2.0,,5.0,,5.0,2.0,2.0,,9.0,9.0,3.0,2.0,2.0,,2.0,90.0
2,"LeCras, Mark",17,6,6,23,3,1.0,,2.0,,7.0,,2.0,,,,4.0,20.0,,2.0,1.0,4.0,4.0,93.0
21,"Lynch, Quinten",8,4,8,16,1,,8.0,3.0,,2.0,4.0,1.0,1.0,1.0,,7.0,9.0,1.0,1.0,2.0,,,79.0
13,"Masten, Chris",9,3,8,17,,,,3.0,5.0,,1.0,2.0,,2.0,,4.0,13.0,,,2.0,,1.0,71.0
35,"McGinnity, Patrick",7,5,8,15,,,,2.0,2.0,1.0,1.0,,,,,7.0,7.0,,,1.0,,,81.0
27,"McKinley, Ben",4,2,4,8,1,,,,,3.0,,2.0,,1.0,,4.0,4.0,,,,,1.0,78.0
9,"Naitanui, Nic",2,1,10,12,,,13.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,,8.0,4.0,1.0,,3.0,1.0,,63.0
11,"Priddis, Matt",8,1,15,23,,,,5.0,,3.0,3.0,4.0,,2.0,,8.0,16.0,,,3.0,,1.0,85.0
24,"Rosa, Matt",16,6,15,31,,,1.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,1.0,10.0,22.0,1.0,,1.0,2.0,,84.0
37,"Selwood, Adam",7,5,16,23,,,,3.0,2.0,1.0,3.0,4.0,1.0,3.0,,6.0,16.0,,,,,,64.0
10,"Selwood, Scott",12,7,8,20,,,,,2.0,,,3.0,,2.0,,2.0,19.0,,,4.0,,,83.0
15,"Swift, Tom",6,3,16,22,,,,3.0,2.0,,6.0,3.0,,1.0,,13.0,8.0,,,,,,78.0
42,"Maister, Beau",8,7,10,18,,,1.0,4.0,,,1.0,2.0,1.0,1.0,,7.0,11.0,2.0,,5.0,,,88.0
36,"Wilson, Callum",6,5,4,10,,2.0,,,,2.0,1.0,,,,,4.0,6.0,,2.0,,,1.0,80.0
44,"Wirrpanda, David",16,5,3,19,1,,,4.0,4.0,3.0,,2.0,1.0,,,8.0,11.0,2.0,,1.0,,2.0,91.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,221,117,205,426,16,6.0,23.0,52.0,42.0,45.0,32.0,48.0,13.0,22.0,6.0,135.0,286.0,14.0,10.0,48.0,8.0,14.0,
Opposition,Opposition,181,67,187,368,13,19.0,31.0,71.0,27.0,63.0,34.0,53.0,21.0,13.0,,143.0,219.0,14.0,9.0,49.0,21.0,6.0,
