Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",28y 98d,192 (123-0-69 64.06%),110 (0.57),←,
12,"Blakey, John",34y 341d,337 (182-0-155 54.01%),107 (0.32),202 (130-0-72 64.36%),69 (0.34)
22,"Burton, Matthew",31y 42d,105 (41-0-64 39.05%),45 (0.43),35 (19-0-16 54.29%),13 (0.37)
18,"Carey, Wayne",30y 34d,237 (149-0-88 62.87%),650 (2.74),←,
23,"Clayton, Shane",22y 249d,79 (42-0-37 53.16%),30 (0.38),61 (40-0-21 65.57%),29 (0.48)
45,"Cochrane, Stuart",22y 345d,25 (12-0-13 48.00%),4 (0.16),←,
2,"Colbert, Leigh",26y 23d,131 (76-1-54 58.40%),62 (0.47),26 (14-0-12 53.85%),12 (0.46)
6,"Grant, Shannon",24y 72d,144 (90-1-53 62.85%),166 (1.15),86 (58-0-28 67.44%),128 (1.49)
29,"Harvey, Brent",23y 47d,100 (67-0-33 67.00%),108 (1.08),←,
34,"King, David",29y 115d,169 (111-0-58 65.68%),82 (0.49),←,
35,"Makepeace, Troy",22y 116d,30 (17-0-13 56.67%),9 (0.30),←,
5,"McCartney, Jason",27y 108d,158 (89-0-69 56.33%),53 (0.34),83 (55-0-28 66.27%),5 (0.06)
31,"McKernan, Corey",27y 193d,173 (116-0-57 67.05%),219 (1.27),←,
32,"Morrell, Digby",21y 263d,4 (2-0-2 50.00%),4 (1.00),←,
44,"Motlop, Shannon",22y 316d,33 (22-0-11 66.67%),21 (0.64),←,
28,"Pickett, Byron",23y 323d,89 (59-0-30 66.29%),20 (0.22),←,
3,"Rawlings, Brady",20y 20d,30 (22-0-8 73.33%),10 (0.33),←,
26,"Rocca, Saverio",27y 222d,168 (75-2-91 45.24%),537 (3.20),12 (5-0-7 41.67%),23 (1.92)
7,"Simpson, Adam",25y 134d,128 (88-0-40 68.75%),43 (0.34),←,
10,"Stevens, Anthony",29y 363d,231 (142-0-89 61.47%),102 (0.44),←,
40,"Teague, David",20y 56d,1 (1-0-0 100.00%),,←,
36,"Watt, Shannon",20y 216d,16 (9-0-7 56.25%),2 (0.13),←,
Totals,Totals,25y 201d,2580 (1535-4-1041 59.50%),2384 (0.92),,
C,"Pagan, Denis",53y 279d,208 (135-0-73 64.90%),,←,
