Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",23y 132d,74 (33-2-39 45.95%),44 (0.59),←,
35,"Baxter, Darren",27y 45d,110 (51-3-56 47.73%),19 (0.17),←,
6,"Campbell, Tony",24y 264d,81 (44-0-37 54.32%),61 (0.75),6 (5-0-1 83.33%),
20,"Coleman, Glenn",31y 90d,171 (92-2-77 54.39%),94 (0.55),46 (24-1-21 53.26%),30 (0.65)
26,"Del-Re, Danny",24y 81d,26 (14-1-11 55.77%),45 (1.73),←,
32,"Foster, Peter",31y 336d,156 (82-3-71 53.53%),56 (0.36),149 (79-3-67 54.03%),54 (0.36)
29,"Grant, Chris",19y 142d,41 (22-1-18 54.88%),84 (2.05),←,
7,"Hawkins, Doug",31y 364d,271 (111-4-156 41.70%),178 (0.66),←,
4,"Kellett, Nigel",22y 137d,26 (13-0-13 50.00%),7 (0.27),←,
21,"Kolyniuk, Steven",21y 303d,49 (25-1-23 52.04%),63 (1.29),←,
39,"Liberatore, Tony",26y 82d,65 (36-1-28 56.15%),41 (0.63),←,
27,"Macpherson, Stephen",27y 153d,144 (69-3-72 48.96%),136 (0.94),←,
25,"Mansfield, Matthew",22y 314d,8 (5-0-3 62.50%),,←,
5,"Moloney, Troy",25y 351d,34 (15-1-18 45.59%),4 (0.12),←,
33,"Royal, Brian",30y 143d,176 (92-2-82 52.84%),240 (1.36),←,
31,"Smith, Rohan",18y 338d,6 (5-0-1 83.33%),5 (0.83),←,
17,"Standfield, Barry",22y 80d,13 (7-0-6 53.85%),,←,
8,"Toohey, Bernard",29y 75d,229 (115-1-113 50.44%),112 (0.49),6 (5-0-1 83.33%),1 (0.17)
24,"Wallis, Stephen",27y 189d,183 (95-2-86 52.46%),42 (0.23),←,
15,"Wynd, Scott",22y 99d,61 (28-1-32 46.72%),11 (0.18),←,
Totals,Totals,25y 204d,1924 (954-28-942 49.58%),1242 (0.65),,
C,"Wheeler, Terry",37y 51d,50 (26-1-23 53.00%),,←,
