Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",17,4.0,9,26,2.0,,,1.0,,,,,,1.0,,,,,,,,,
30,"Bourke, Damian",8,3.0,2,10,,,12.0,,,,,,2.0,2.0,,,,,,,,,
11,"Buckley, Nathan",15,5.0,5,20,1.0,4.0,,1.0,,,,,1.0,1.0,,,,,,,,,
1,"Champion, Richard",6,3.0,3,9,,1.0,,3.0,,,,,1.0,4.0,,,,,,,,,
5,"Chapman, Nathan",9,5.0,1,10,,,,,,,,,1.0,1.0,,,,,,,,,
12,"Clarke, Troy",7,1.0,5,12,,,,,,,,,,,,,,,,,,,
6,"Fletcher, Adrian",5,3.0,10,15,,,,2.0,,,,,3.0,1.0,,,,,,,,,
4,"Gastev, John",6,,4,10,,,,2.0,,,,,1.0,1.0,,,,,,,,,
32,"Hart, Shaun",5,2.0,9,14,,,,2.0,,,,,1.0,1.0,,,,,,,,,
41,"Kennedy, Matthew",5,2.0,4,9,,,,1.0,,,,,1.0,3.0,,,,,,,,,
31,"McCormack, Brendan",3,2.0,3,6,,1.0,,1.0,,,,,,1.0,,,,,,,,,
7,"McIvor, Scott",10,4.0,8,18,,,,1.0,,,,,1.0,,,,,,,,,,
19,"McLean, Michael",13,3.0,7,20,,,,3.0,,,,,4.0,,,,,,,,,,
40,"McLuckie, Steven",14,3.0,5,19,,2.0,,,,,,,3.0,2.0,,,,,,,,,
24,"Merrett, Roger",7,4.0,2,9,1.0,2.0,,1.0,,,,,1.0,,,,,,,,,,
26,"Noonan, Danny",9,2.0,7,16,,,,1.0,,,,,1.0,,,,,,,,,,
15,"Spargo, Paul",17,2.0,11,28,1.0,,,,,,,,1.0,3.0,,,,,,,,,
33,"White, Darryl",8,6.0,9,17,1.0,,3.0,1.0,,,,,,3.0,,,,,,,,,
28,"Windsor, Ray",6,3.0,2,8,,3.0,,,,,,,1.0,,,,,,,,,,
18,"Worsfold, Peter",6,3.0,4,10,,,,,,,,,,4.0,,,,,,,,,
Totals,Totals,176,60.0,110,286,6.0,13.0,15.0,20.0,,,,,23.0,28.0,,,,,,,,,
Opposition,Opposition,229,81.0,171,400,20.0,18.0,15.0,30.0,,,,,28.0,23.0,6.0,,,,,,,,
