Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",21y 123d,29 (9-1-19 32.76%),16 (0.55),←,
18,"Cameron, Leon",17y 235d,4 (2-0-2 50.00%),3 (0.75),←,
17,"Charles, Justin",19y 209d,5 (2-0-3 40.00%),,←,
20,"Coleman, Glenn",29y 81d,128 (69-1-58 54.30%),65 (0.51),3 (1-0-2 33.33%),1 (0.33)
4,"Davies, Darren",24y 193d,30 (12-0-18 40.00%),28 (0.93),←,
12,"Eppelstun, Greg",23y 160d,64 (30-1-33 47.66%),1 (0.02),←,
32,"Foster, Peter",29y 327d,111 (58-2-51 53.15%),50 (0.45),104 (55-2-47 53.85%),48 (0.46)
29,"Grant, Chris",17y 133d,5 (2-0-3 40.00%),16 (3.20),←,
7,"Hawkins, Doug",29y 355d,227 (88-3-136 39.43%),102 (0.45),←,
43,"Hogg, Matthew",21y 125d,40 (14-1-25 36.25%),3 (0.08),←,
21,"Kolyniuk, Steven",19y 294d,15 (6-1-8 43.33%),14 (0.93),←,
39,"Liberatore, Tony",24y 73d,23 (13-0-10 56.52%),14 (0.61),←,
11,"McGuinness, Tony",25y 354d,92 (40-2-50 44.57%),92 (1.00),←,
40,"Moloney, Troy",23y 342d,26 (11-1-14 44.23%),4 (0.15),←,
14,"Reynolds, Keenan",21y 108d,4 (2-0-2 50.00%),,←,
47,"Standfield, Barry",20y 71d,5 (2-0-3 40.00%),,←,
13,"Svilar, Michael",20y 229d,3 (1-0-2 33.33%),,←,
16,"Wallace, Terry",31y 133d,233 (137-2-94 59.23%),116 (0.50),48 (19-1-28 40.63%),13 (0.27)
24,"Wallis, Stephen",25y 180d,153 (76-2-75 50.33%),39 (0.25),←,
6,"Wigney, Stuart",21y 6d,27 (10-1-16 38.89%),6 (0.22),←,
Totals,Totals,23y 150d,1224 (584-18-622 47.71%),569 (0.46),,
C,"Wheeler, Terry",35y 43d,5 (2-0-3 40.00%),,←,
