Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
43 ↓,"Barlow, Ed",7,4,5,12,,1.0,1.0,3.0,2.0,2.0,,,,,,16.0,9.0,,1.0,1.0,,1.0,87.0
5,"Boyd, Matthew",12,4,14,26,,,,5.0,3.0,3.0,5.0,5.0,,1.0,,7.0,17.0,,,1.0,,,86.0
17,"Cooney, Adam",14,5,12,26,1,1.0,1.0,6.0,1.0,4.0,7.0,2.0,,1.0,,16.0,9.0,,1.0,1.0,,1.0,87.0
4,"Cross, Daniel",10,10,14,24,,,3.0,7.0,1.0,1.0,4.0,,2.0,,,9.0,16.0,1.0,1.0,,,,89.0
40,"Dahlhaus, Luke",7,2,5,12,2,1.0,,6.0,1.0,4.0,1.0,1.0,,1.0,,4.0,7.0,,,2.0,,,86.0
13,"Giansiracusa, Daniel",22,6,3,25,4,2.0,,4.0,,8.0,2.0,4.0,3.0,1.0,3.0,9.0,16.0,1.0,2.0,2.0,,2.0,83.0
9,"Gilbee, Lindsay",11,7,7,18,1,,,2.0,2.0,2.0,2.0,1.0,,1.0,,7.0,11.0,1.0,1.0,6.0,,1.0,78.0
1,"Grant, Jarrad",8,5,5,13,1,,,6.0,,4.0,,2.0,,,,5.0,7.0,1.0,1.0,1.0,,2.0,86.0
16,"Griffen, Ryan",19,5,9,28,2,,,4.0,,8.0,6.0,2.0,,1.0,2.0,10.0,16.0,,1.0,2.0,2.0,1.0,84.0
28,"Hall, Barry",7,5,,7,3,1.0,1.0,2.0,,3.0,,,1.0,,,3.0,4.0,1.0,3.0,1.0,,,88.0
7,"Higgins, Shaun",11,6,15,26,2,,,2.0,3.0,1.0,,1.0,2.0,1.0,,9.0,15.0,2.0,1.0,3.0,1.0,1.0,80.0
41,"Hooper, Andrew",10,5,4,14,,,,2.0,1.0,1.0,1.0,1.0,,,,3.0,10.0,,1.0,2.0,,2.0,81.0
15,"Hudson, Ben",6,1,6,12,,,30.0,4.0,2.0,,4.0,4.0,1.0,2.0,,7.0,5.0,,,1.0,,,79.0
19,"Jones, Liam",8,8,4,12,,,7.0,3.0,,3.0,2.0,,1.0,,,6.0,6.0,4.0,2.0,1.0,,1.0,86.0
37,"Markovic, Lukas",6,4,10,16,,,,1.0,3.0,,,3.0,,2.0,,7.0,9.0,1.0,,3.0,,,92.0
38,"Morris, Dale",8,4,5,13,,,,5.0,3.0,,1.0,1.0,,1.0,,6.0,7.0,,,6.0,,,97.0
2,"Murphy, Robert",17,5,4,21,,,,1.0,3.0,1.0,1.0,2.0,,,,2.0,17.0,,,5.0,1.0,,90.0
42,"Picken, Liam",11,1,6,17,1,2.0,,7.0,2.0,3.0,1.0,2.0,3.0,,,11.0,7.0,,,1.0,,,88.0
11 ↑,"Reid, Sam",3,1,4,7,,1.0,,2.0,,2.0,1.0,,1.0,,,1.0,6.0,,,,1.0,,20.0
14,"Ward, Callan",8,4,17,25,2,1.0,,1.0,2.0,3.0,5.0,2.0,,2.0,1.0,12.0,13.0,1.0,,2.0,2.0,1.0,83.0
12,"Williams, Tom",11,5,2,13,,,,,1.0,3.0,,,1.0,,,4.0,9.0,1.0,,3.0,,1.0,88.0
29,"Wood, Easton",8,4,5,13,,,,2.0,2.0,1.0,,1.0,,,,3.0,11.0,,,1.0,,,83.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,224,101,156,380,19,13.0,43.0,75.0,32.0,57.0,43.0,34.0,15.0,14.0,6.0,157.0,227.0,14.0,15.0,45.0,7.0,14.0,
Opposition,Opposition,170,73,175,345,8,15.0,56.0,72.0,34.0,47.0,40.0,35.0,14.0,15.0,,137.0,206.0,12.0,12.0,43.0,8.0,3.0,
