Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Abraham, Winston",9,1,5,14,2,1.0,,5.0,,3.0,1.0,2.0,2.0,1.0,,11.0,3.0,1.0,1.0,2.0,1.0,,
11,"Archer, Glenn",10,4,3,13,,,,1.0,6.0,,1.0,1.0,1.0,1.0,,9.0,5.0,2.0,,3.0,,,
26,"Bell, Peter",21,10,11,32,1,,,6.0,3.0,7.0,13.0,6.0,1.0,,,10.0,23.0,,1.0,3.0,3.0,,
12,"Blakey, John",6,5,8,14,,,,,2.0,,2.0,2.0,2.0,1.0,,9.0,7.0,3.0,,3.0,,,
22,"Burton, Matthew",3,,4,7,1,,18.0,,,2.0,1.0,,,1.0,,3.0,4.0,,,1.0,,,
16,"Capuano, Mathew",6,4,2,8,1,,9.0,3.0,1.0,3.0,1.0,,,,,2.0,6.0,1.0,1.0,1.0,,,
18,"Carey, Wayne",12,8,4,16,3,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,1.0,,7.0,10.0,2.0,3.0,2.0,,,
45,"Cochrane, Stuart",7,3,4,11,1,,,1.0,,2.0,,,,,,3.0,8.0,,,1.0,,,
2,"Colbert, Leigh",8,6,2,10,,1.0,,2.0,,2.0,,1.0,1.0,3.0,,3.0,8.0,,2.0,1.0,,,
6,"Grant, Shannon",15,5,5,20,4,3.0,,,,3.0,1.0,4.0,1.0,,,10.0,10.0,,3.0,,,,
29,"Harvey, Brent",17,7,7,24,,1.0,,4.0,,8.0,4.0,2.0,,,,9.0,14.0,,1.0,2.0,18.0,,
34,"King, David",6,1,3,9,,,,2.0,1.0,2.0,,3.0,,,,1.0,8.0,,,2.0,,,
27,"Lange, Adam",2,,1,3,,1.0,,,,1.0,,,,1.0,,2.0,1.0,,,,,,
35,"Makepeace, Troy",5,,4,9,,,,1.0,,5.0,1.0,,1.0,,,5.0,4.0,,,3.0,1.0,,
5,"McCartney, Jason",6,4,3,9,,,2.0,,2.0,2.0,,1.0,,2.0,,3.0,5.0,1.0,,2.0,,,
31,"McKernan, Corey",8,4,2,10,1,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,5.0,5.0,2.0,2.0,,2.0,,
44,"Motlop, Shannon",,,,,,,,,,,,,,,,,,,,1.0,,,
28,"Pickett, Byron",13,7,4,17,1,,,3.0,7.0,3.0,,,1.0,,,5.0,11.0,,,6.0,5.0,,
13,"Pike, Martin",11,3,,11,,,,2.0,2.0,3.0,1.0,2.0,,,,3.0,7.0,,,2.0,1.0,,
24,"Sholl, Craig",5,5,2,7,,3.0,,4.0,,2.0,,1.0,,1.0,,2.0,6.0,1.0,4.0,1.0,1.0,,
7,"Simpson, Adam",16,9,8,24,,,1.0,2.0,2.0,8.0,6.0,2.0,,,,12.0,11.0,1.0,,3.0,,,
10,"Stevens, Anthony",16,7,5,21,1,,,6.0,2.0,7.0,2.0,2.0,2.0,1.0,,10.0,11.0,,,4.0,2.0,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,202,93,87,289,16,14.0,33.0,44.0,31.0,67.0,36.0,32.0,13.0,14.0,,124.0,167.0,14.0,18.0,43.0,34.0,,
Opposition,Opposition,206,98,87,293,15,10.0,21.0,35.0,45.0,50.0,28.0,44.0,14.0,13.0,,136.0,156.0,24.0,17.0,28.0,8.0,,
