Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Ballantyne, Hayden",5,2,4,9,1,1.0,,3.0,,4.0,1.0,,1.0,,,3.0,6.0,,,1.0,1.0,2.0,76.0
19,"Blakely, Connor",,,2,2,,,,1.0,,,,1.0,,,,,2.0,,,,,,23.0
36,"Cox, Brennan",7,6,4,11,,,1.0,3.0,2.0,,2.0,1.0,,1.0,,3.0,9.0,,,1.0,,,73.0
17,"Crozier, Hayden",9,8,7,16,,1.0,,2.0,,4.0,1.0,1.0,1.0,1.0,,8.0,9.0,3.0,1.0,1.0,,,76.0
4,"Darcy, Sean",2,2,7,9,,1.0,30.0,5.0,,,2.0,1.0,1.0,1.0,,5.0,4.0,2.0,1.0,3.0,,,83.0
7,"Fyfe, Nat",10,6,21,31,2,,,5.0,2.0,3.0,5.0,4.0,1.0,1.0,3.0,19.0,10.0,5.0,,4.0,,1.0,90.0
28,"Grey, Brady",6,1,4,10,2,,,,,1.0,,2.0,,2.0,,4.0,5.0,,,,,,74.0
21,"Hamling, Joel",5,4,3,8,,,,1.0,1.0,1.0,,1.0,,,,2.0,6.0,1.0,,8.0,,,97.0
9,"Hill, Bradley",17,6,4,21,1,,,3.0,4.0,4.0,2.0,3.0,,,,2.0,18.0,,1.0,,,2.0,88.0
32,"Hill, Stephen",18,3,8,26,,,,4.0,1.0,6.0,5.0,1.0,2.0,,,12.0,16.0,,,1.0,,1.0,85.0
15,"Hughes, Ethan",8,6,7,15,1,,,,1.0,2.0,,2.0,1.0,2.0,,4.0,12.0,1.0,,3.0,,,83.0
37,"Johnson, Michael",15,12,4,19,,,,2.0,5.0,,,2.0,,2.0,,3.0,15.0,,,3.0,,,100.0
22,"Kersten, Shane",6,6,6,12,3,,,2.0,,,1.0,1.0,,,,5.0,7.0,1.0,3.0,1.0,,1.0,91.0
2,"Logue, Griffin",9,7,,9,,,,5.0,1.0,2.0,,2.0,1.0,2.0,,1.0,7.0,,,3.0,,,89.0
23,"McCarthy, Cam",6,2,5,11,,1.0,,1.0,1.0,3.0,,2.0,1.0,,,3.0,9.0,,1.0,,,1.0,84.0
16,"Mundy, David",6,3,6,12,1,1.0,,3.0,,,1.0,2.0,1.0,1.0,,4.0,8.0,,1.0,,,1.0,93.0
27,"Neale, Lachie",15,6,15,30,,,,3.0,3.0,3.0,8.0,2.0,4.0,1.0,2.0,16.0,15.0,,,,2.0,1.0,82.0
38,"Ryan, Luke",19,14,6,25,,,,6.0,8.0,1.0,1.0,1.0,3.0,,,6.0,19.0,1.0,,4.0,,,88.0
8,"Suban, Nick",8,5,3,11,1,,,4.0,,1.0,,1.0,,,,1.0,9.0,,1.0,,,,79.0
33,"Sutcliffe, Cam",16,8,5,21,,,,5.0,1.0,1.0,2.0,1.0,,1.0,,3.0,17.0,,,1.0,,,74.0
18,"Tucker, Darcy",16,11,7,23,1,1.0,,1.0,,6.0,,,1.0,,,3.0,21.0,1.0,3.0,1.0,,1.0,79.0
14,"Weller, Lachie",13,8,9,22,,,,4.0,4.0,3.0,1.0,2.0,,1.0,,3.0,18.0,,,1.0,,,92.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,216,126,137,353,13,8.0,31.0,63.0,34.0,45.0,32.0,33.0,18.0,16.0,5.0,110.0,242.0,15.0,12.0,36.0,3.0,11.0,
Opposition,Opposition,215,95,152,367,13,20.0,58.0,59.0,30.0,51.0,45.0,49.0,16.0,18.0,1.0,137.0,236.0,12.0,11.0,38.0,11.0,11.0,
