Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
42,"Boyd, Matthew",2,1,4,6,,,,1.0,1.0,,2.0,1.0,1.0,1.0,,4.0,3.0,,,,,,41.0
17,"Cooney, Adam",16,6,9,25,,1.0,,3.0,2.0,7.0,5.0,1.0,,,2.0,9.0,16.0,1.0,1.0,,6.0,2.0,98.0
4,"Cross, Daniel",9,9,17,26,,1.0,1.0,2.0,1.0,2.0,3.0,5.0,2.0,2.0,,8.0,18.0,1.0,2.0,1.0,,,96.0
10,"Eagleton, Nathan",6,2,1,7,1,,,,,4.0,1.0,,,,,3.0,4.0,,1.0,1.0,2.0,1.0,74.0
13,"Giansiracusa, Daniel",6,2,5,11,1,2.0,,4.0,,1.0,1.0,2.0,2.0,1.0,,3.0,8.0,,1.0,1.0,,,75.0
9,"Gilbee, Lindsay",10,5,9,19,,,,1.0,5.0,2.0,1.0,1.0,,,,5.0,12.0,,,2.0,3.0,1.0,100.0
3,"Grant, Chris",5,3,4,9,2,,,2.0,,1.0,,3.0,,1.0,,4.0,4.0,2.0,2.0,5.0,,,100.0
16,"Griffen, Ryan",15,5,4,19,,,,3.0,6.0,6.0,,3.0,1.0,2.0,,7.0,14.0,,,3.0,8.0,,95.0
8,"Hahn, Mitch",2,2,4,6,2,,,1.0,,,,3.0,1.0,2.0,,4.0,2.0,,1.0,3.0,,,74.0
25,"Hargrave, Ryan",8,4,5,13,,,,4.0,5.0,,,4.0,1.0,,,5.0,8.0,,,5.0,,,100.0
6,"Johnson, Brad",13,4,4,17,3,,,1.0,,1.0,1.0,4.0,,1.0,,5.0,12.0,1.0,2.0,2.0,1.0,1.0,96.0
36,"Lake, Brian",7,3,5,12,,,,1.0,3.0,1.0,,3.0,,2.0,,2.0,9.0,,,9.0,,,100.0
23,"McMahon, Jordan",15,6,10,25,,,,3.0,2.0,2.0,1.0,,,,,5.0,19.0,,,3.0,4.0,,100.0
27,"Minson, Will",5,3,4,9,,,8.0,3.0,,2.0,2.0,5.0,,2.0,,3.0,5.0,,,3.0,2.0,1.0,51.0
38,"Morris, Dale",3,2,5,8,,,,4.0,,,1.0,1.0,1.0,1.0,,5.0,3.0,,,7.0,,,100.0
2,"Murphy, Robert",13,8,3,16,3,1.0,,1.0,,4.0,,1.0,,1.0,,5.0,11.0,,4.0,1.0,1.0,2.0,95.0
1,"Ray, Farren",10,3,2,12,1,,,1.0,1.0,4.0,,1.0,,,,2.0,9.0,,,2.0,3.0,,55.0
30,"Robbins, Matthew",10,7,2,12,1,2.0,,4.0,,4.0,,1.0,2.0,,,6.0,7.0,2.0,4.0,3.0,1.0,1.0,90.0
34,"Skipper, Wayde",2,2,2,4,,,1.0,,,,1.0,2.0,1.0,2.0,,2.0,2.0,,,3.0,,,31.0
5,"Smith, Rohan",14,11,7,21,2,1.0,,1.0,3.0,5.0,,1.0,,1.0,,2.0,19.0,,2.0,1.0,2.0,,96.0
31,"Street, Peter",1,,2,3,,,13.0,2.0,,,,2.0,,1.0,,,3.0,,,1.0,,,44.0
7,"West, Scott",13,2,14,27,,,,1.0,4.0,4.0,9.0,3.0,4.0,2.0,3.0,13.0,12.0,,,1.0,3.0,,89.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,185,90,122,307,16,9.0,23.0,43.0,33.0,50.0,28.0,47.0,16.0,22.0,5.0,102.0,200.0,7.0,20.0,57.0,36.0,9.0,
Opposition,Opposition,189,90,99,288,16,13.0,31.0,36.0,32.0,51.0,34.0,36.0,22.0,16.0,1.0,130.0,163.0,15.0,12.0,40.0,14.0,7.0,
