Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
17,"Bowey, Jake",22y 270d,74 (45-0-29 60.81%),8 (0.11),←,
37,"Chandler, Kade",25y 147d,69 (37-0-32 53.62%),53 (0.77),←,
31,"Fritsch, Bayley",28y 185d,161 (88-1-72 54.97%),266 (1.65),←,
11,"Gawn, Max",33y 161d,237 (116-1-120 49.16%),111 (0.47),←,
22,"Howes, Blake",22y 63d,21 (9-0-12 42.86%),,←,
15,"Langdon, Ed",29y 128d,192 (101-1-90 52.86%),82 (0.43),124 (76-1-47 61.69%),49 (0.40)
19,"Langford, Harvey",19y 86d,12 (5-0-7 41.67%),7 (0.58),←,
8,"Lever, Jake",29y 96d,183 (113-1-69 62.02%),5 (0.03),127 (75-1-51 59.45%),2 (0.02)
20,"Lindsay, Xavier",18y 310d,12 (5-0-7 41.67%),,←,
1,"May, Steven",33y 150d,245 (111-2-132 45.71%),24 (0.10),122 (73-1-48 60.25%),3 (0.02)
4,"McVee, Judd",21y 306d,55 (31-0-24 56.36%),1 (0.02),←,
18,"Melksham, Jake",33y 284d,238 (123-1-114 51.89%),199 (0.84),124 (71-0-53 57.26%),142 (1.15)
13,"Oliver, Clayton",27y 322d,195 (107-1-87 55.13%),57 (0.29),←,
5,"Petracca, Christian",29y 156d,202 (112-1-89 55.69%),197 (0.98),←,
35,"Petty, Harry",25y 209d,94 (50-1-43 53.72%),38 (0.40),←,
36,"Pickett, Kysaiah",24y 7d,116 (73-1-42 63.36%),182 (1.57),←,
24,"Rivers, Trent",23y 314d,113 (70-1-42 62.39%),11 (0.10),←,
3,"Salem, Christian",29y 329d,189 (95-1-93 50.53%),27 (0.14),←,
32,"Sparrow, Tom",25y 9d,108 (65-1-42 60.65%),42 (0.39),←,
12,"Tholstrup, Koltyn",19y 346d,15 (7-0-8 46.67%),7 (0.47),←,
10,"Turner, Daniel",23y 132d,27 (12-0-15 44.44%),22 (0.81),←,
2,"van Rooyen, Jacob",22y 54d,48 (25-0-23 52.08%),62 (1.29),←,
6,"Windsor, Caleb",20y,30 (15-0-15 50.00%),10 (0.33),←,
Totals,Totals,25y 224d,2636 (1415-14-1207 53.68%),1411 (0.54),,
C,"Goodwin, Simon",48y 165d,196 (109-1-86 55.87%),,195 (109-1-85 56.15%),
