Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",27y 364d,217 (127-2-88 58.99%),286 (1.32),25 (3-0-22 12.00%),24 (0.96)
11,"Bennell, Harley",19y 223d,21 (2-0-19 9.52%),26 (1.24),←,
3,"Brennan, Jared",27y 289d,148 (58-3-87 40.20%),88 (0.59),29 (3-0-26 10.34%),13 (0.45)
30,"Brown, Campbell",28y 258d,179 (76-1-102 42.74%),71 (0.40),20 (1-0-19 5.00%),7 (0.35)
28,"Caddy, Josh",19y 227d,9 (0-0-9 0.00%),7 (0.78),←,
27,"Coad, Michael",28y 242d,3 (0-0-3 0.00%),,←,
12,"Day, Sam",19y 249d,12 (1-0-11 8.33%),7 (0.58),←,
23,"Dixon, Charlie",21y 232d,13 (2-0-11 15.38%),8 (0.62),←,
42,"Horsley, Kyal",24y 253d,3 (0-0-3 0.00%),1 (0.33),←,
7,"Hunt, Karmichael",25y 177d,23 (2-0-21 8.70%),2 (0.09),←,
36,"Iles, Sam",24y 328d,27 (7-0-20 25.93%),11 (0.41),20 (3-0-17 15.00%),11 (0.55)
19,"Lynch, Tom",19y 194d,20 (2-0-18 10.00%),16 (0.80),←,
18,"McKenzie, Trent",20y 39d,27 (3-0-24 11.11%),14 (0.52),←,
41,"Prestia, Dion",19y 213d,24 (1-0-23 4.17%),2 (0.08),←,
35,"Rischitelli, Michael",26y 125d,137 (52-3-82 39.05%),59 (0.43),26 (3-0-23 11.54%),12 (0.46)
8,"Russell, Luke",20y 109d,18 (1-0-17 5.56%),9 (0.50),←,
2,"Smith, Zac",22y 80d,27 (3-0-24 11.11%),16 (0.59),←,
24,"Swallow, David",19y 175d,28 (3-0-25 10.71%),18 (0.64),←,
48,"Tape, Seb",19y 280d,19 (1-0-18 5.26%),,←,
20,"Toy, Josh",20y 24d,10 (3-0-7 30.00%),1 (0.10),←,
14,"Warnock, Matthew",28y 39d,62 (11-1-50 18.55%),1 (0.02),7 (0-0-7 0.00%),
38,"Wilkinson, Joel",20y 165d,10 (1-0-9 10.00%),1 (0.10),←,
Totals,Totals,22y 344d,1037 (356-10-671 34.33%),644 (0.62),,
C,"McKenna, Guy",43y 1d,29 (3-0-26 10.34%),,←,
