Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
32,"Colyer, Travis",18y 347d,9 (4-0-5 44.44%),4 (0.44),←,
29,"Davey, Alwyn",26y 83d,55 (25-1-29 46.36%),56 (1.02),←,
15,"Dempsey, Courtenay",22y 343d,47 (17-1-29 37.23%),12 (0.26),←,
31,"Fletcher, Dustin",35y 91d,328 (195-4-129 60.06%),67 (0.20),←,
34,"Hardingham, Kyle",21y 339d,3 (2-0-1 66.67%),8 (2.67),←,
19,"Hille, David",29y 65d,162 (75-1-86 46.60%),120 (0.74),←,
39,"Hocking, Heath",22y 222d,42 (17-1-24 41.67%),13 (0.31),←,
26,"Hooker, Cale",21y 297d,33 (11-0-22 33.33%),5 (0.15),←,
43,"Houli, Bachar",22y 86d,26 (10-1-15 40.38%),9 (0.35),←,
40,"Howlett, Ben",21y 289d,12 (5-0-7 41.67%),4 (0.33),←,
18,"Hurley, Michael",20y 66d,26 (9-1-16 36.54%),22 (0.85),←,
14,"Lonergan, Sam",23y 133d,51 (21-1-29 42.16%),29 (0.57),←,
10,"McVeigh, Mark",29y 192d,204 (97-3-104 48.28%),101 (0.50),←,
6,"Monfries, Angus",23y 199d,107 (38-2-67 36.45%),113 (1.06),←,
1,"Neagle, Jay",22y 201d,26 (9-1-16 36.54%),39 (1.50),←,
9,"Prismall, Brent",24y 23d,51 (29-2-20 58.82%),23 (0.45),26 (11-1-14 44.23%),8 (0.31)
37,"Reimers, Kyle",21y 208d,37 (14-1-22 39.19%),34 (0.92),←,
30,"Ryder, Paddy",22y 145d,92 (36-2-54 40.22%),40 (0.43),←,
5,"Stanton, Brent",24y 97d,138 (51-2-85 37.68%),87 (0.63),←,
4,"Watson, Jobe",25y 179d,113 (44-2-67 39.82%),44 (0.39),←,
8,"Winderlich, Jason",25y 300d,93 (34-0-59 36.56%),40 (0.43),←,
11,"Zaharakis, David",20y 166d,29 (12-0-17 41.38%),26 (0.90),←,
Totals,Totals,23y 334d,1684 (755-26-903 44.83%),896 (0.53),,
C,"Knights, Matthew",39y 305d,64 (25-1-38 39.84%),,←,
