Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
31,"Alvin, Tom",27y 358d,121 (74-1-46 61.57%),39 (0.32),←,
37,"Bassett, Adrian",23y 34d,3 (1-0-2 33.33%),1 (0.33),←,
8,"Blackwell, Wayne",29y 227d,102 (60-0-42 58.82%),79 (0.77),←,
43,"Bond, Chris",21y 78d,2 (1-0-1 50.00%),,←,
21,"Bradley, Craig",26y 173d,96 (62-1-33 65.10%),77 (0.80),←,
3,"Dennis, Richard",23y 257d,46 (33-0-13 71.74%),32 (0.70),←,
24,"Dunlop, Jamie",24y 99d,13 (9-0-4 69.23%),1 (0.08),←,
12,"Gleeson, Adrian",22y 349d,73 (47-1-25 65.07%),78 (1.07),←,
13,"Hanna, Mil",24y 9d,48 (25-1-22 53.13%),16 (0.33),←,
28,"Kernahan, David",24y 277d,10 (5-0-5 50.00%),7 (0.70),←,
4,"Kernahan, Stephen",26y 225d,97 (62-1-34 64.43%),256 (2.64),←,
33,"Majerczak, Mark",21y 359d,7 (4-0-3 57.14%),9 (1.29),←,
45,"McKenzie, Warren",25y 257d,60 (38-1-21 64.17%),41 (0.68),←,
47,"McKinnon, Andrew",21y 260d,9 (4-0-5 44.44%),4 (0.44),←,
23,"Meldrum, Paul",29y 213d,130 (86-1-43 66.54%),130 (1.00),←,
29,"Minton-Connell, Simon",20y 353d,3 (2-0-1 66.67%),10 (3.33),←,
17,"Naley, Mark",29y 34d,58 (36-1-21 62.93%),66 (1.14),←,
26,"Rhys-Jones, David",27y 302d,169 (97-0-72 57.40%),91 (0.54),93 (59-0-34 63.44%),52 (0.56)
1,"Silvagni, Stephen",22y 318d,78 (52-0-26 66.67%),54 (0.69),←,
15,"Verbeek, Simon",23y 16d,18 (8-1-9 47.22%),25 (1.39),←,
Totals,Totals,24y 319d,1143 (706-9-428 61.77%),1016 (0.89),,
C,"Jesaulenko, Alex",44y 255d,121 (56-3-62 47.52%),,57 (43-1-13 76.32%),
