Notes,Previous,Current
Port Adelaide's lowest score conceded,"71 v Brisbane Lions - R5,1997","20 v Gold Coast - R23,2017"
Port Adelaide's biggest win,"39 v Geelong - R3,1997","117 v Hawthorn - R13,2005"
