Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",28y 47d,223 (127-2-94 57.40%),292 (1.31),31 (3-0-28 9.68%),30 (0.97)
11,"Bennell, Harley",19y 272d,27 (2-0-25 7.41%),30 (1.11),←,
3,"Brennan, Jared",27y 338d,151 (58-3-90 39.40%),91 (0.60),32 (3-0-29 9.38%),16 (0.50)
28,"Caddy, Josh",19y 276d,15 (0-0-15 0.00%),8 (0.53),←,
12,"Day, Sam",19y 298d,18 (1-0-17 5.56%),11 (0.61),←,
23,"Dixon, Charlie",21y 281d,14 (2-0-12 14.29%),9 (0.64),←,
40,"Hickey, Tom",21y 116d,8 (0-0-8 0.00%),4 (0.50),←,
29,"Hine, Taylor",20y 158d,3 (0-0-3 0.00%),1 (0.33),←,
42,"Horsley, Kyal",24y 302d,8 (0-0-8 0.00%),2 (0.25),←,
7,"Hunt, Karmichael",25y 226d,29 (2-0-27 6.90%),2 (0.07),←,
36,"Iles, Sam",25y 11d,33 (7-0-26 21.21%),11 (0.33),26 (3-0-23 11.54%),11 (0.42)
32,"Matera, Brandon",20y 111d,20 (2-0-18 10.00%),18 (0.90),←,
45,"May, Steven",20y 172d,12 (0-0-12 0.00%),,←,
18,"McKenzie, Trent",20y 88d,31 (3-0-28 9.68%),14 (0.45),←,
43,"Patrick, Liam",24y 118d,5 (1-0-4 20.00%),4 (0.80),←,
37,"Sexton, Alex",18y 210d,6 (0-0-6 0.00%),1 (0.17),←,
26,"Shaw, Matt",20y 146d,25 (2-0-23 8.00%),11 (0.44),←,
2,"Smith, Zac",22y 129d,31 (3-0-28 9.68%),17 (0.55),←,
25,"Stanley, Danny",24y 133d,33 (4-0-29 12.12%),21 (0.64),28 (3-0-25 10.71%),21 (0.75)
21,"Taylor, Jeremy",20y 13d,7 (0-0-7 0.00%),,←,
14,"Warnock, Matthew",28y 88d,68 (11-1-56 16.91%),1 (0.01),13 (0-0-13 0.00%),
38,"Wilkinson, Joel",20y 214d,15 (1-0-14 6.67%),1 (0.07),←,
Totals,Totals,22y 170d,782 (226-6-550 28.90%),549 (0.70),,
C,"McKenna, Guy",43y 50d,35 (3-0-32 8.57%),,←,
