Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
44,"Buckley, Jack",6,4,1,7,,,,2.0,,,,2.0,,,,1.0,6.0,,,3.0,,,83.0
18,"Cameron, Jeremy",8,6,2,10,,1.0,,,,4.0,1.0,2.0,,1.0,,7.0,3.0,3.0,1.0,3.0,,,86.0
3,"Coniglio, Stephen",15,6,8,23,,,,2.0,5.0,4.0,3.0,2.0,2.0,2.0,,10.0,14.0,,,2.0,,,86.0
13,"Cumming, Isaac",11,8,5,16,,,,,4.0,1.0,,,,,,3.0,10.0,2.0,,2.0,,,86.0
16,"Daniels, Brent",8,3,6,14,,,,1.0,,1.0,,3.0,,2.0,,4.0,9.0,,,,,,82.0
31,"Finlayson, Jeremy",4,2,1,5,,,2.0,2.0,,3.0,,1.0,1.0,1.0,,2.0,4.0,,1.0,3.0,,,85.0
12,"Green, Tom",6,6,9,15,,2.0,,2.0,1.0,1.0,2.0,6.0,,1.0,,8.0,7.0,1.0,1.0,,,,68.0
4,"Greene, Toby",7,3,5,12,1,1.0,,,,1.0,1.0,2.0,,,,2.0,8.0,,1.0,,,,92.0
19,"Haynes, Nick",6,5,2,8,,,,,,,1.0,3.0,,2.0,,1.0,7.0,,1.0,2.0,,,82.0
2,"Hopper, Jacob",9,3,9,18,,,,4.0,1.0,,2.0,1.0,,,,4.0,14.0,,,,,,81.0
39,"Idun, Connor",7,3,6,13,,,,1.0,3.0,,,4.0,2.0,1.0,,5.0,7.0,,,8.0,,,89.0
25,"Keeffe, Lachlan",8,6,6,14,,,,,3.0,1.0,,3.0,1.0,1.0,,8.0,6.0,3.0,,12.0,,,96.0
22,"Kelly, Josh",11,2,7,18,,,,2.0,2.0,4.0,4.0,1.0,2.0,1.0,,9.0,9.0,,,1.0,,1.0,89.0
38,"Lloyd, Daniel",10,6,7,17,1,,,3.0,1.0,2.0,3.0,4.0,,,,7.0,10.0,,,,,,75.0
41,"Mumford, Shane",,1,5,5,,,12.0,2.0,,1.0,2.0,1.0,,1.0,,4.0,1.0,,,7.0,,,82.0
36,"Perryman, Harry",12,6,6,18,,,,6.0,3.0,1.0,,1.0,,,,5.0,14.0,,,1.0,,,81.0
50,"Reid, Sam",1,2,1,2,,,,2.0,,,,1.0,,,,,3.0,,,2.0,,,56.0
26,"Riccardi, Jake",6,5,5,11,1,2.0,1.0,1.0,,1.0,,,,,,3.0,8.0,,2.0,1.0,,,81.0
23,"Shaw, Heath",15,7,1,16,,1.0,,1.0,6.0,2.0,1.0,3.0,1.0,2.0,,2.0,11.0,,,2.0,,,82.0
14,"Taranto, Tim",12,3,7,19,,1.0,,2.0,1.0,2.0,2.0,3.0,,,,6.0,12.0,1.0,1.0,,,,84.0
6,"Whitfield, Lachie",16,13,12,28,,1.0,,,6.0,3.0,2.0,3.0,1.0,,,5.0,23.0,,1.0,2.0,,,83.0
29,"Williams, Zac",9,2,4,13,,1.0,,3.0,,1.0,,2.0,,1.0,,2.0,10.0,,,1.0,,,72.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,187,102,115,302,3,12.0,15.0,36.0,36.0,33.0,24.0,48.0,10.0,16.0,,98.0,196.0,10.0,9.0,52.0,,1.0,
Opposition,Opposition,184,67,74,258,12,10.0,36.0,39.0,30.0,48.0,36.0,37.0,16.0,10.0,6.0,107.0,144.0,6.0,6.0,35.0,4.0,4.0,
