Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Adams, Taylor",15,3,17,32,,,,7.0,3.0,3.0,11.0,5.0,1.0,2.0,,15.0,16.0,,,,,1.0,78.0
14,"Aish, James",11,5,8,19,,,,,3.0,3.0,1.0,2.0,,1.0,,4.0,15.0,,,2.0,,,79.0
31,"Appleby, Flynn",3,2,4,7,,,,1.0,1.0,,,3.0,1.0,1.0,,3.0,4.0,,,1.0,,,83.0
17,"Brown, Callum",11,1,6,17,2,,,5.0,,4.0,1.0,1.0,2.0,,,3.0,14.0,,,,1.0,1.0,80.0
46,"Cox, Mason",3,3,1,4,,,6.0,,,2.0,,,1.0,,,3.0,1.0,2.0,,2.0,,,89.0
25,"Crisp, Jack",13,5,16,29,,2.0,,4.0,1.0,3.0,4.0,7.0,,1.0,,13.0,14.0,,1.0,,1.0,2.0,87.0
39,"Crocker, Ben",7,5,,7,2,,,2.0,,1.0,,4.0,1.0,,,2.0,5.0,,2.0,1.0,,,70.0
2,"de Goey, Jordan",10,3,8,18,1,2.0,,3.0,,2.0,1.0,1.0,,,,7.0,9.0,,2.0,2.0,,,81.0
4,"Grundy, Brodie",12,4,19,31,1,,48.0,9.0,1.0,4.0,11.0,3.0,5.0,,3.0,22.0,10.0,1.0,1.0,5.0,,,88.0
32,"Hoskin-Elliott, Will",6,2,5,11,1,1.0,,3.0,,5.0,,2.0,1.0,1.0,,4.0,7.0,,,,,1.0,89.0
38,"Howe, Jeremy",7,10,11,18,,,,3.0,3.0,1.0,,2.0,2.0,2.0,,9.0,8.0,4.0,,3.0,1.0,,86.0
37,"Maynard, Brayden",13,3,7,20,,,,4.0,4.0,6.0,,6.0,1.0,3.0,,4.0,15.0,,,3.0,,1.0,94.0
16,"Mayne, Chris",3,2,5,8,,,,1.0,,,,1.0,,,,3.0,5.0,,,1.0,,1.0,68.0
41,"Mihocek, Brody",6,3,2,8,,1.0,,3.0,,4.0,,1.0,2.0,,,3.0,5.0,,1.0,2.0,,1.0,85.0
10,"Pendlebury, Scott",14,7,9,23,2,,,4.0,1.0,5.0,1.0,2.0,,,,5.0,18.0,,,1.0,,1.0,84.0
21,"Phillips, Tom",15,2,4,19,,,,3.0,1.0,5.0,2.0,1.0,1.0,,,7.0,12.0,,,,1.0,,88.0
35,"Quaynor, Isaac",8,4,9,17,,,,1.0,1.0,5.0,,2.0,3.0,,,5.0,12.0,1.0,,5.0,1.0,,76.0
23,"Roughead, Jordan",9,7,10,19,,,,1.0,4.0,,,3.0,,1.0,,6.0,12.0,1.0,,5.0,,,97.0
22,"Sidebottom, Steele",14,7,12,26,1,,,3.0,4.0,3.0,1.0,1.0,1.0,,,5.0,21.0,,1.0,,4.0,,84.0
36,"Sier, Brayden",4,1,8,12,1,,,6.0,,1.0,2.0,3.0,1.0,1.0,,8.0,5.0,,,,,,61.0
7,"Treloar, Adam",16,3,18,34,,,,5.0,1.0,4.0,4.0,5.0,1.0,1.0,,18.0,17.0,,1.0,,,1.0,80.0
18,"Varcoe, Travis",6,5,9,15,,1.0,,2.0,1.0,2.0,,,,,,4.0,11.0,1.0,1.0,,,,72.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,206,87,188,394,11,9.0,54.0,70.0,29.0,63.0,39.0,55.0,24.0,14.0,3.0,153.0,236.0,10.0,10.0,33.0,9.0,10.0,
Opposition,Opposition,235,104,147,382,19,8.0,38.0,79.0,50.0,49.0,46.0,61.0,14.0,24.0,3.0,154.0,226.0,10.0,14.0,61.0,6.0,16.0,
