Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
30,"Bayes, Mark",13,8,3,16,1,1.0,,2.0,,,,,,2.0,,,,,,,,,
26,"Caven, Peter",5,4,1,6,,,,1.0,,,,,,,,,,,,,,,
23,"Crawford, Justin",4,3,2,6,1,,,,,,,,,,,,,,,,,,
8,"Cresswell, Daryn",20,7,12,32,,1.0,1.0,,,,,,,,2.0,,,,,,,,
5,"Daniels, Jayson",2,1,3,5,,,,6.0,,,,,1.0,1.0,,,,,,,,,
18,"Direen, Scott",12,4,7,19,1,,,1.0,,,,,,,,,,,,,,,
6,"Dunkley, Andrew",8,3,4,12,,1.0,,,,,,,3.0,1.0,,,,,,,,,
20,"Gaspar, Darren",3,2,7,10,,,,2.0,,,,,,,,,,,,,,,
9,"Grant, Shannon",14,5,10,24,1,2.0,,1.0,,,,,1.0,,,,,,,,,,
25,"Gray, Troy",4,1,5,9,,1.0,,2.0,,,,,,2.0,,,,,,,,,
11,"Kappler, Darren",12,2,7,19,,,,2.0,,,,,1.0,1.0,,,,,,,,,
14,"Kelly, Paul",11,5,6,17,1,,,6.0,,,,,,1.0,,,,,,,,,
24,"Kickett, Derek",7,5,8,15,1,1.0,,,,,,,,2.0,,,,,,,,,
3,"Lewis, Dale",20,7,10,30,1,1.0,,5.0,,,,,1.0,1.0,3.0,,,,,,,,
4,"Lockett, Tony",9,9,2,11,5,2.0,,,,,,,,1.0,,,,,,,,,
34,"Luff, Troy",9,4,7,16,1,,,3.0,,,,,1.0,,,,,,,,,,
2,"McRae, Dean",12,1,8,20,1,2.0,1.0,3.0,,,,,,1.0,,,,,,,,,
17,"Mooney, Jason",7,6,6,13,1,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,
16,"Rocca, Anthony",5,3,1,6,1,2.0,,1.0,,,,,1.0,2.0,,,,,,,,,
1,"Roos, Paul",15,5,4,19,,,,1.0,,,,,1.0,2.0,,,,,,,,,
22,"Rose, Gavin",7,1,12,19,,1.0,16.0,1.0,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,199,86,125,324,16,17.0,20.0,37.0,,,,,12.0,18.0,5.0,,,,,,,,
Opposition,Opposition,176,61,110,286,12,12.0,13.0,17.0,,,,,18.0,12.0,1.0,,,,,,,,
