North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
13,"Adams, Leigh",26y 139d,103 (54-1-48 52.91%),71 (0.69),←,
18,"Atley, Shaun",21y 344d,82 (44-0-38 53.66%),9 (0.11),←,
3,"Bastinac, Ryan",23y 62d,100 (55-0-45 55.00%),57 (0.57),←,
35,"Black, Aaron",23y 267d,43 (25-0-18 58.14%),62 (1.44),←,
50,"Brown, Ben",21y 276d,7 (6-0-1 85.71%),9 (1.29),←,
10,"Cunnington, Ben",23y 54d,95 (50-0-45 52.63%),41 (0.43),←,
15,"Dal Santo, Nick",30y 182d,281 (158-5-118 57.12%),146 (0.52),21 (13-0-8 61.90%),6 (0.29)
11,"Firrito, Michael",30y 269d,227 (113-2-112 50.22%),29 (0.13),←,
43,"Gibson, Sam",28y 88d,56 (33-0-23 58.93%),21 (0.38),←,
22,"Goldstein, Todd",26y 53d,122 (64-1-57 52.87%),57 (0.47),←,
24,"Greenwood, Levi",25y 185d,71 (38-1-32 54.23%),24 (0.34),←,
17,"Grima, Nathan",29y 18d,82 (44-1-37 54.27%),1 (0.01),←,
5,"Jacobs, Ben",22y 226d,44 (15-0-29 34.09%),8 (0.18),18 (10-0-8 55.56%),3 (0.17)
21,"McDonald, Luke",19y 195d,20 (12-0-8 60.00%),,←,
41,"Mullett, Aaron",22y 181d,47 (26-0-21 55.32%),24 (0.51),←,
20,"Petrie, Drew",31y 312d,265 (130-3-132 49.62%),349 (1.32),←,
9,"Swallow, Andrew",27y 82d,160 (77-1-82 48.44%),72 (0.45),←,
12,"Thomas, Lindsay",26y 176d,150 (72-2-76 48.67%),243 (1.62),←,
16,"Thompson, Scott",28y 106d,132 (61-2-69 46.97%),6 (0.05),←,
40,"Turner, Kayne",18y 235d,2 (2-0-0 100.00%),3 (1.50),←,
19,"Wright, Sam",24y 39d,80 (41-0-39 51.25%),54 (0.68),←,
7,"Ziebell, Jack",23y 176d,96 (46-0-50 47.92%),52 (0.54),←,
Totals,Totals,25y 84d,2265 (1166-19-1080 51.48%),1338 (0.59),,
C,"Scott, Brad",38y 112d,110 (58-0-52 52.73%),,←,
