North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Ahern, Paul",17,5,10,27,,1.0,,,7.0,1.0,1.0,4.0,,1.0,,9.0,16.0,1.0,,1.0,,,87.0
3,"Anderson, Jed",11,2,9,20,,2.0,,3.0,1.0,3.0,2.0,3.0,1.0,2.0,,10.0,10.0,,1.0,1.0,,,71.0
18,"Atley, Shaun",8,2,7,15,,,,1.0,3.0,2.0,,3.0,,1.0,,1.0,16.0,,,3.0,1.0,,80.0
50,"Brown, Ben",6,3,2,8,2,1.0,5.0,1.0,,1.0,3.0,1.0,1.0,,,7.0,2.0,2.0,1.0,,,,93.0
10,"Cunnington, Ben",6,2,15,21,,,,4.0,1.0,3.0,5.0,1.0,1.0,,,11.0,10.0,1.0,,,,,79.0
9,"Davies-Uniacke, Luke",8,5,8,16,,1.0,,1.0,,3.0,1.0,2.0,1.0,2.0,,6.0,9.0,,1.0,1.0,,,71.0
14,"Dumont, Trent",18,12,8,26,,,,1.0,,2.0,1.0,2.0,,,,7.0,20.0,1.0,1.0,2.0,,3.0,88.0
24,"Durdin, Sam",2,2,1,3,,,,1.0,1.0,,,1.0,,1.0,,2.0,3.0,,,10.0,,,89.0
6,"Garner, Taylor",7,5,8,15,,1.0,,2.0,,1.0,,2.0,,1.0,,6.0,10.0,,1.0,,,,72.0
22,"Goldstein, Todd",7,2,10,17,,2.0,33.0,2.0,,4.0,4.0,1.0,,1.0,,11.0,6.0,1.0,,6.0,,,88.0
4,"Higgins, Shaun",9,3,10,19,,,,3.0,1.0,4.0,3.0,1.0,1.0,,,4.0,15.0,,,,,,86.0
20,"Larkey, Nick",7,4,5,12,1,,4.0,1.0,,3.0,,2.0,2.0,1.0,,8.0,4.0,2.0,,4.0,,1.0,86.0
34,"Macmillan, Jamie",10,5,4,14,,,,1.0,3.0,2.0,,2.0,,,,2.0,13.0,,,2.0,,,79.0
17,"Pittard, Jasper",4,2,10,14,,,,1.0,3.0,,,1.0,,,,3.0,8.0,1.0,,3.0,1.0,,85.0
13,"Polec, Jared",22,5,9,31,1,,,1.0,3.0,7.0,2.0,2.0,1.0,1.0,,11.0,19.0,,,2.0,,1.0,89.0
12,"Simpkin, Jy",7,1,5,12,,1.0,,4.0,2.0,2.0,5.0,,1.0,,,5.0,7.0,,1.0,2.0,,,80.0
25,"Tarrant, Robbie",6,2,2,8,,,,1.0,2.0,2.0,,2.0,,,,1.0,5.0,,,13.0,,,90.0
26,"Thomas, Tarryn",5,,6,11,1,1.0,,3.0,,,3.0,,,,,9.0,2.0,,,3.0,,,73.0
2,"Williams, Marley",9,3,8,17,,,,1.0,2.0,2.0,,,1.0,,,4.0,12.0,,,2.0,,,77.0
32,"Wood, Mason",6,6,5,11,2,,,2.0,,1.0,,6.0,1.0,3.0,,5.0,6.0,1.0,2.0,,,,83.0
7,"Ziebell, Jack",6,2,6,12,,,,6.0,2.0,1.0,4.0,,1.0,,,8.0,5.0,,,,,1.0,75.0
44,"Zurhaar, Cameron",9,8,5,14,3,1.0,,2.0,1.0,2.0,,3.0,1.0,2.0,,3.0,11.0,1.0,5.0,1.0,,,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,190,81,153,343,10,12.0,42.0,42.0,32.0,46.0,34.0,39.0,13.0,16.0,,133.0,209.0,11.0,13.0,56.0,2.0,6.0,
Opposition,Opposition,216,97,160,376,18,13.0,27.0,56.0,33.0,51.0,43.0,33.0,16.0,13.0,6.0,136.0,238.0,16.0,21.0,59.0,11.0,14.0,
