Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
12,"Baguley, Mark",27y 108d,50 (26-1-23 53.00%),2 (0.04),←,
2,"Bellchambers, Tom",25y 59d,69 (28-2-39 42.03%),51 (0.74),←,
3,"Chapman, Paul",32y 305d,271 (177-3-91 65.87%),358 (1.32),20 (11-1-8 57.50%),22 (1.10)
32,"Colyer, Travis",23y 13d,46 (23-1-22 51.09%),29 (0.63),←,
6,"Daniher, Joe",20y 186d,26 (14-1-11 55.77%),31 (1.19),←,
15,"Dempsey, Courtenay",27y 9d,106 (50-3-53 48.58%),26 (0.25),←,
35,"Gleeson, Martin",20y 12d,9 (3-1-5 38.89%),2 (0.22),←,
9,"Goddard, Brendon",29y 109d,247 (151-4-92 61.94%),139 (0.56),42 (25-1-16 60.71%),35 (0.83)
21,"Heppell, Dyson",22y 115d,84 (44-2-38 53.57%),20 (0.24),←,
1,"Hibberd, Michael",24y 246d,63 (35-1-27 56.35%),8 (0.13),←,
39,"Hocking, Heath",26y 253d,119 (58-3-58 50.00%),40 (0.34),←,
26,"Hooker, Cale",25y 328d,111 (52-2-57 47.75%),7 (0.06),←,
40,"Howlett, Ben",25y 320d,97 (51-2-44 53.61%),47 (0.48),←,
18,"Hurley, Michael",24y 97d,100 (49-3-48 50.50%),103 (1.03),←,
27,"Merrett, Zach",18y 338d,20 (11-1-8 57.50%),11 (0.55),←,
23,"Myers, David",25y 68d,83 (43-0-40 51.81%),26 (0.31),←,
30,"Ryder, Paddy",26y 176d,170 (79-4-87 47.65%),117 (0.69),←,
5,"Stanton, Brent",28y 128d,226 (98-4-124 44.25%),147 (0.65),←,
25,"Steinberg, Ariel",22y 11d,3 (2-0-1 66.67%),,←,
4,"Watson, Jobe",29y 210d,188 (83-4-101 45.21%),105 (0.56),←,
8,"Winderlich, Jason",29y 331d,128 (53-2-73 42.19%),83 (0.65),←,
11,"Zaharakis, David",24y 197d,110 (56-2-52 51.82%),87 (0.79),←,
Totals,Totals,25y 165d,2326 (1186-46-1094 50.99%),1439 (0.62),,
C,"Thompson, Mark",50y 291d,283 (173-4-106 61.84%),,23 (12-1-10 54.35%),
