Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
19,"Bartram, Clint",3,,7,10,,,,5.0,2.0,1.0,1.0,3.0,1.0,,,6.0,4.0,,,,,,98.0
32,"Bruce, Cameron",10,5,8,18,,,,2.0,1.0,4.0,5.0,2.0,1.0,1.0,,8.0,10.0,,1.0,6.0,2.0,,100.0
41,"Carroll, Nathan",5,4,8,13,,,,,3.0,,,,,,2.0,7.0,6.0,2.0,,6.0,1.0,,100.0
36,"Davey, Aaron",8,1,7,15,3,,,6.0,,2.0,2.0,1.0,1.0,1.0,,5.0,10.0,,1.0,1.0,4.0,,86.0
14,"Dunn, Lynden",4,2,4,8,2,1.0,2.0,3.0,,1.0,,,,,,2.0,6.0,1.0,2.0,,,,87.0
30,"Godfrey, Simon",12,4,9,21,,1.0,,5.0,1.0,6.0,3.0,1.0,4.0,1.0,,12.0,11.0,1.0,,1.0,,2.0,87.0
18,"Green, Brad",15,11,9,24,,1.0,,2.0,3.0,7.0,1.0,3.0,2.0,2.0,,6.0,19.0,,2.0,2.0,5.0,,97.0
4,"Holland, Ben",5,3,7,12,,,1.0,2.0,2.0,,2.0,1.0,,1.0,,7.0,5.0,1.0,,4.0,,,100.0
40,"Jamar, Mark",1,1,3,4,1,,11.0,1.0,,,,1.0,,1.0,,2.0,1.0,,,,,,45.0
16,"Johnstone, Travis",19,7,10,29,1,,,7.0,4.0,3.0,4.0,,2.0,,,9.0,19.0,,,,,,83.0
23,"McDonald, James",13,3,14,27,,1.0,,5.0,1.0,6.0,6.0,,4.0,,,11.0,16.0,,,1.0,2.0,,70.0
9,"Neitz, David",8,5,1,9,,3.0,,,,4.0,,1.0,,1.0,,3.0,5.0,,3.0,,,2.0,86.0
33,"Pickett, Byron",4,2,5,9,,,,,,1.0,,5.0,,1.0,,3.0,7.0,,,,,,69.0
28,"Read, Phillip",8,5,7,15,,,,4.0,2.0,1.0,4.0,4.0,,3.0,,5.0,11.0,,,,,,55.0
27,"Rivers, Jared",3,4,6,9,,1.0,,3.0,2.0,1.0,,,,,,1.0,8.0,,1.0,4.0,,,86.0
24,"Robertson, Russell",7,4,,7,2,1.0,,2.0,,,,,,,,4.0,3.0,3.0,4.0,,,,99.0
12,"Sylvia, Colin",6,1,3,9,,,,6.0,1.0,,2.0,2.0,2.0,1.0,,3.0,6.0,,,,,,66.0
10,"Ward, Daniel",10,5,5,15,,,,6.0,2.0,2.0,,2.0,,2.0,,2.0,14.0,,,2.0,4.0,,78.0
31,"Wheatley, Paul",6,3,3,9,,,1.0,,2.0,2.0,,2.0,,,,3.0,6.0,,,,1.0,,47.0
45,"Whelan, Matthew",5,6,2,7,,,,4.0,1.0,,,2.0,,1.0,,1.0,7.0,,,1.0,,,96.0
34,"White, Jeff",8,8,8,16,,,17.0,2.0,2.0,1.0,,1.0,,1.0,,4.0,11.0,1.0,,,2.0,,69.0
13,"Yze, Adem",19,6,7,26,,1.0,,4.0,4.0,2.0,8.0,7.0,,3.0,,11.0,12.0,,,1.0,,,97.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,179,90,133,312,9,13.0,32.0,69.0,33.0,44.0,38.0,38.0,17.0,20.0,2.0,115.0,197.0,9.0,14.0,29.0,21.0,4.0,
Opposition,Opposition,200,105,157,357,15,6.0,40.0,48.0,40.0,47.0,28.0,38.0,20.0,17.0,4.0,122.0,234.0,10.0,11.0,42.0,28.0,8.0,
