Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
13,"Ah Chee, Callum",20y 208d,31 (7-0-24 22.58%),21 (0.68),←,
9,"Ainsworth, Ben",20y 84d,20 (5-0-15 25.00%),18 (0.90),←,
31,"Ballard, Charlie",18y 286d,1 (0-0-1 0.00%),1 (1.00),←,
29,"Bowes, Jack",20y 99d,17 (5-0-12 29.41%),3 (0.18),←,
32,"Crossley, Brayden",18y 262d,1 (0-0-1 0.00%),1 (1.00),←,
12,"Day, Sam",25y 241d,105 (32-1-72 30.95%),71 (0.68),←,
5,"Harbrow, Jarrod",29y 291d,209 (80-2-127 38.76%),53 (0.25),139 (40-1-98 29.14%),32 (0.23)
39,"Holman, Nick",22y 341d,16 (4-0-12 25.00%),1 (0.06),7 (3-0-4 42.86%),1 (0.14)
38,"Joyce, Jesse",20y 261d,35 (11-0-24 31.43%),1 (0.03),←,
25,"Lyons, Jarryd",25y 287d,80 (43-0-37 53.75%),47 (0.59),25 (9-0-16 36.00%),15 (0.60)
4,"Martin, Jack",23y 96d,73 (22-1-50 30.82%),67 (0.92),←,
11,"Miller, Touk",22y 72d,67 (16-1-50 24.63%),20 (0.30),←,
35,"Rischitelli, Michael",32y 117d,221 (79-3-139 36.43%),88 (0.40),110 (30-0-80 27.27%),41 (0.37)
3,"Rosa, Matt",31y 163d,206 (98-1-107 47.82%),44 (0.21),38 (11-0-27 28.95%),5 (0.13)
18,"Scheer, Brad",19y 247d,5 (1-0-4 20.00%),,←,
6,"Sexton, Alex",24y 153d,82 (24-0-58 29.27%),50 (0.61),←,
43,"Spencer, Max",20y 213d,7 (0-0-7 0.00%),,←,
24,"Swallow, David",25y 167d,104 (31-0-73 29.81%),54 (0.52),←,
16,"Thompson, Rory",27y 54d,93 (29-1-63 31.72%),7 (0.08),←,
14,"Weller, Lachie",22y 71d,54 (17-0-37 31.48%),17 (0.31),7 (3-0-4 42.86%),
28,"Witts, Jarrod",25y 234d,65 (27-0-38 41.54%),20 (0.31),25 (9-0-16 36.00%),2 (0.08)
15,"Young, Aaron",25y 150d,83 (41-1-41 50.00%),69 (0.83),7 (3-0-4 42.86%),7 (1.00)
Totals,Totals,23y 286d,1575 (572-11-992 36.32%),653 (0.41),,
C,"Dew, Stuart",38y 260d,7 (3-0-4 42.86%),,←,
