Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
17,"Bowey, Jake",20y 314d,40 (31-0-9 77.50%),6 (0.15),←,
10,"Brayshaw, Angus",27y 195d,161 (90-1-70 56.21%),47 (0.29),←,
50,"Brown, Ben",30y 245d,169 (94-1-74 55.92%),353 (2.09),39 (28-1-10 73.08%),66 (1.69)
37,"Chandler, Kade",23y 191d,26 (17-0-9 65.38%),18 (0.69),←,
11,"Gawn, Max",31y 205d,196 (97-1-98 49.74%),98 (0.50),←,
12,"Hunter, Lachie",28y 222d,190 (104-0-86 54.74%),78 (0.41),17 (12-0-5 70.59%),5 (0.29)
23,"Jordon, James",22y 215d,61 (46-1-14 76.23%),17 (0.28),←,
15,"Langdon, Ed",27y 172d,150 (81-1-68 54.33%),65 (0.43),82 (56-1-25 68.90%),32 (0.39)
8,"Lever, Jake",27y 140d,153 (99-1-53 65.03%),4 (0.03),97 (61-1-35 63.40%),1 (0.01)
1,"May, Steven",31y 194d,209 (94-2-113 45.45%),23 (0.11),86 (56-1-29 65.70%),2 (0.02)
41,"McVee, Judd",19y 350d,18 (12-0-6 66.67%),,←,
18,"Melksham, Jake",31y 328d,216 (112-1-103 52.08%),171 (0.79),102 (60-0-42 58.82%),114 (1.12)
30,"Neal-Bullen, Alex",27y 195d,146 (86-1-59 59.25%),101 (0.69),←,
5,"Petracca, Christian",27y 200d,169 (96-1-72 57.10%),162 (0.96),←,
36,"Pickett, Kysaiah",22y 51d,78 (53-1-24 68.59%),115 (1.47),←,
24,"Rivers, Trent",21y 358d,70 (50-1-19 72.14%),7 (0.10),←,
3,"Salem, Christian",28y 8d,152 (77-1-74 50.99%),25 (0.16),←,
29,"Smith, Joel",27y 148d,35 (21-0-14 60.00%),5 (0.14),←,
32,"Sparrow, Tom",23y 53d,68 (46-1-21 68.38%),25 (0.37),←,
20,"Tomlinson, Adam",29y 347d,174 (85-3-86 49.71%),35 (0.20),34 (24-0-10 70.59%),
2,"van Rooyen, Jacob",20y 98d,14 (10-0-4 71.43%),18 (1.29),←,
7,"Viney, Jack",29y 101d,189 (85-1-103 45.24%),56 (0.30),←,
40,"Woewodin, Taj",20y 119d,3 (3-0-0 100.00%),2 (0.67),←,
Totals,Totals,26y 51d,2687 (1489-19-1179 55.41%),1431 (0.53),,
C,"Goodwin, Simon",46y 209d,153 (89-1-63 58.50%),,152 (89-1-62 58.88%),
