Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",17,2,8,25,1,,,1.0,,,,,2.0,,,,,,,,,,
35,"Baxter, Darren",20,6,5,25,,1.0,,,,,,,3.0,,,,,,,,,,
18,"Cameron, Leon",20,5,2,22,,,,,,,,,2.0,2.0,,,,,,,,,
1,"Charles, Justin",3,1,4,7,1,,,,,,,,1.0,2.0,,,,,,,,,
20,"Coleman, Glenn",16,6,1,17,,1.0,1.0,1.0,,,,,2.0,5.0,2.0,,,,,,,,
22,"Cullen, Mark",6,2,6,12,1,,,1.0,,,,,4.0,2.0,,,,,,,,,
26,"Del-Re, Danny",17,1,4,21,,,,,,,,,6.0,3.0,,,,,,,,,
12,"Eppelstun, Greg",3,,6,9,,,,,,,,,2.0,,,,,,,,,,
45,"Ford, Michael",4,1,1,5,,1.0,,2.0,,,,,2.0,1.0,,,,,,,,,
32,"Foster, Peter",18,9,6,24,,,,,,,,,2.0,1.0,3.0,,,,,,,,
19,"Gow, Paul",15,5,3,18,,,,1.0,,,,,3.0,,,,,,,,,,
29,"Grant, Chris",6,,2,8,,,,,,,,,3.0,5.0,,,,,,,,,
7,"Hawkins, Doug",13,6,1,14,,2.0,,2.0,,,,,2.0,3.0,,,,,,,,,
43,"Hogg, Matthew",5,3,1,6,,,,,,,,,,4.0,,,,,,,,,
10,"Hunter, Mark",20,4,5,25,,,,3.0,,,,,4.0,2.0,,,,,,,,,
31,"Krakouer, Phil",5,2,4,9,,1.0,,,,,,,1.0,,,,,,,,,,
39,"Liberatore, Tony",16,,14,30,,2.0,,2.0,,,,,5.0,,,,,,,,,,
27,"Macpherson, Stephen",15,2,1,16,,1.0,,1.0,,,,,1.0,3.0,,,,,,,,,
34,"Sexton, Ben",2,1,2,4,1,,,,,,,,,3.0,,,,,,,,,
15,"Wynd, Scott",8,5,10,18,,,5.0,,,,,,4.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,229,61,86,315,4,11.0,6.0,14.0,,,,,49.0,37.0,5.0,,,,,,,,
Opposition,Opposition,239,43,71,310,5,5.0,13.0,34.0,,,,,37.0,49.0,1.0,,,,,,,,
