Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
29,"Ablett, Gary",15,10,28,43,2,,,3.0,1.0,4.0,4.0,3.0,,,3.0,13.0,29.0,1.0,1.0,2.0,1.0,1.0,89.0
3,"Bartel, Jimmy",13,7,15,28,,,,6.0,,3.0,,1.0,,1.0,,4.0,24.0,1.0,,2.0,,,91.0
24,"Blake, Mark",5,5,7,12,,1.0,13.0,2.0,,1.0,2.0,2.0,2.0,2.0,,4.0,9.0,,1.0,1.0,,,64.0
17,"Byrnes, Shannon",10,4,9,19,2,1.0,,1.0,,6.0,1.0,,,,,5.0,14.0,,1.0,,3.0,1.0,80.0
35,"Chapman, Paul",13,5,11,24,3,1.0,,3.0,,4.0,1.0,3.0,1.0,1.0,,10.0,16.0,2.0,2.0,,4.0,1.0,88.0
18,"Djerrkura, Nathan",3,1,8,11,,,,5.0,,1.0,3.0,1.0,,1.0,,2.0,8.0,,,3.0,,1.0,55.0
44,"Enright, Corey",18,6,8,26,,,,1.0,2.0,5.0,,,,,,3.0,21.0,,,2.0,2.0,,90.0
15,"Gamble, Ryan",4,6,6,10,1,,,1.0,,3.0,,1.0,,1.0,,2.0,8.0,1.0,,1.0,,1.0,71.0
26,"Hawkins, Tom",8,7,3,11,3,,,,,2.0,,,3.0,,,7.0,4.0,3.0,4.0,,,1.0,84.0
20,"Johnson, Steve",11,2,6,17,1,1.0,,1.0,2.0,4.0,,7.0,3.0,1.0,,6.0,12.0,,2.0,,,,88.0
9,"Kelly, James",9,4,14,23,,,,2.0,,,,1.0,,,,6.0,16.0,,,2.0,,,92.0
45,"Ling, Cameron",10,3,16,26,,,,9.0,,3.0,4.0,3.0,4.0,,,9.0,17.0,,,3.0,,,92.0
13,"Lonergan, Tom",4,5,12,16,,,,1.0,1.0,,,3.0,,3.0,,1.0,17.0,,,2.0,,,94.0
4,"Mackie, Andrew",9,5,9,18,,,,3.0,5.0,,,3.0,,1.0,,,15.0,,,2.0,1.0,,93.0
39,"Milburn, Darren",14,10,6,20,,,,,4.0,1.0,1.0,1.0,,,,2.0,17.0,,,2.0,,,86.0
21,"Mooney, Cameron",8,8,3,11,1,2.0,,1.0,,1.0,,,,,,1.0,10.0,1.0,4.0,1.0,,,91.0
41,"Mumford, Shane",,1,7,7,,,10.0,4.0,,,1.0,1.0,2.0,1.0,,4.0,3.0,1.0,,2.0,,,42.0
30,"Scarlett, Matthew",10,8,11,21,,,,2.0,,1.0,,3.0,3.0,3.0,,8.0,15.0,1.0,,7.0,,,97.0
14,"Selwood, Joel",10,5,16,26,,,,3.0,2.0,5.0,4.0,2.0,3.0,2.0,1.0,9.0,18.0,,,4.0,1.0,3.0,84.0
27,"Stokes, Mathew",11,2,3,14,1,1.0,,,,4.0,,,1.0,,,1.0,13.0,,,,,1.0,76.0
5,"Varcoe, Travis",7,4,16,23,1,,,6.0,2.0,2.0,3.0,1.0,1.0,,,4.0,19.0,,1.0,2.0,2.0,,84.0
40,"Wojcinski, David",7,,7,14,,,,3.0,4.0,2.0,,3.0,1.0,3.0,,3.0,12.0,,,1.0,3.0,,70.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,199,108,221,420,15,9.0,23.0,57.0,23.0,52.0,24.0,39.0,24.0,20.0,4.0,104.0,317.0,11.0,16.0,39.0,17.0,10.0,
Opposition,Opposition,176,74,189,365,11,11.0,32.0,45.0,31.0,37.0,29.0,56.0,20.0,24.0,2.0,124.0,242.0,6.0,9.0,40.0,12.0,6.0,
